timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1707209285889,0.82472,0.453352,0.329888,19.81,-35.98,28.77,Noise,Unknown
1707209285889,0.835456,0.44408,0.277672,15.47,-17.99,32.2,Noise,Unknown
1707209285890,0.847656,0.432368,0.255224,9.66,0.84,31.29,Noise,Unknown
1707209285890,0.849608,0.448472,0.222528,5.04,8.54,24.64,Noise,Unknown
1707209285937,0.816912,0.452864,0.193736,3.99,9.03,14.07,Noise,Unknown
1707209285938,0.789096,0.423096,0.181536,5.18,1.89,3.29,Noise,Unknown
1707209285938,0.818376,0.301096,0.130296,56.14,26.25,-16.45,Noise,Unknown
1707209285988,0.843752,0.54656,0.07564,21.35,27.3,4.41,Noise,Unknown
1707209285988,0.85888,0.450424,0.145424,-15.4,68.6,1.26,Noise,Unknown
1707209285988,1.052128,0.489952,0.105896,-14.07,82.88,8.33,Noise,Unknown
1707209286075,0.932568,0.381128,0.020008,-29.54,74.34,7.28,Noise,Right
1707209286075,0.711992,0.43188,0.146888,-57.47,86.1,7.28,Noise,Right
1707209286075,0.91256,0.382104,0.26352,-57.4,97.93,14.28,Noise,Right
1707209286075,0.532408,0.24888,0.432856,28.14,114.1,4.62,Noise,Right
1707209286075,0.650504,0.390888,0.467504,-13.3,123.55,-6.79,Noise,Right
1707209286122,0.637816,0.336232,0.568032,-7.49,125.79,-9.17,Noise,Right
1707209286122,0.516792,0.366976,0.577304,11.83,136.57,-14.7,Noise,Right
1707209286122,0.5734,0.382104,0.534848,-7.77,140.63,-16.31,Noise,Right
1707209286171,0.626592,0.365024,0.636352,7.0,147.49,-12.25,Noise,Right
1707209286171,0.557784,0.343064,0.786168,-2.24,151.48,-13.58,Noise,Right
1707209286171,0.534848,0.407968,0.982832,-18.9,147.56,-13.23,Noise,Right
1707209286215,0.500688,0.395768,1.084336,14.91,125.93,-11.34,Noise,Right
1707209286215,0.517768,0.381616,1.060912,36.82,97.16,-19.11,Noise,Right
1707209286263,0.671976,0.4026,1.149728,42.0,64.4,-26.11,Noise,Right
1707209286263,0.822768,0.435296,1.21512,47.74,27.44,-22.82,Noise,Right
1707209286263,0.840824,0.504104,1.112152,-16.38,-8.54,-34.09,Noise,Right
1707209286308,0.79544,0.613416,1.083848,50.05,-36.54,-16.31,Noise,Right
1707209286308,0.654896,0.62952,0.962336,60.06,-65.24,-6.3,Noise,Right
1707209286308,0.533872,0.606096,0.769576,84.07,-92.33,-12.25,Noise,Right
1707209286356,0.430904,0.58804,0.70028,100.59,-116.97,-24.57,Noise,Right
1707209286356,0.30012,0.547048,0.561688,119.42,-122.5,-31.29,Noise,Right
1707209286403,0.367464,0.616344,0.456768,93.03,-100.52,-23.94,Noise,Right
1707209286403,0.508984,0.614392,0.309392,57.68,-61.95,2.31,Noise,Right
1707209286403,0.50752,0.605608,0.194712,18.2,-38.71,12.88,Noise,Right
1707209286452,0.480192,0.614392,0.104432,-50.05,2.73,26.95,Noise,Right
1707209286457,0.55388,0.623176,0.153232,-132.79,46.9,47.53,Noise,Right
1707209286457,0.526064,0.550464,0.258152,-181.79,81.34,70.21,Noise,Right
1707209286495,0.511424,0.445056,0.465064,-236.95,96.25,82.18,Noise,Right
1707209286495,0.567056,0.394304,0.528992,-286.3,56.63,32.97,Noise,Right
1707209286496,0.413336,0.142496,0.80032,-145.04,88.27,-4.41,Noise,Right
1707209286552,0.58804,0.220576,0.853512,-129.64,65.8,-17.43,Noise,Right
1707209286552,0.436272,0.207888,0.938424,-84.7,67.76,-21.21,Noise,Right
1707209286553,0.378688,0.245952,0.958432,-27.86,63.14,-15.75,Noise,Right
1707209286605,0.408944,0.254248,0.882304,-1.54,64.05,-7.49,Noise,Right
1707209286605,0.520696,0.295728,0.861808,8.82,65.59,-0.42,Noise,Right
1707209286606,0.690032,0.28792,0.950624,18.13,59.01,5.67,Noise,Right
1707209286653,0.707112,0.259128,0.9516,-12.18,45.64,-4.55,Noise,Right
1707209286653,0.60268,0.264008,0.918416,-23.87,22.89,-25.76,Noise,Right
1707209286653,0.513376,0.191296,1.014552,-11.41,10.85,-38.08,Noise,Right
1707209286700,0.453352,0.189832,1.037,7.56,2.66,-42.56,Noise,Right
1707209286700,0.543632,0.239608,1.272216,30.38,-15.68,-41.58,Noise,Right
1707209286700,0.601704,0.356728,1.25416,67.41,-38.15,-37.1,Noise,Right
1707209286758,0.45628,0.384544,1.10044,27.16,-67.27,-35.0,Noise,Right
1707209286758,0.396744,0.330376,0.869128,65.59,-75.67,-35.07,Noise,Right
1707209286809,0.4392,0.395768,0.660752,142.73,-63.42,-50.47,Noise,Right
1707209286809,0.454816,0.510936,0.67344,139.86,-23.03,-72.03,Noise,Right
1707209286810,0.52216,0.557296,0.664656,138.53,-17.71,-61.88,Noise,Right
1707209286810,0.432368,0.503616,0.64416,113.19,-17.99,-44.24,Noise,Right
1707209286859,0.449936,0.541192,0.65636,102.55,-12.53,-27.09,Noise,Right
1707209286860,0.501176,0.58804,0.641232,88.62,-4.9,-8.19,Noise,Right
1707209286860,0.528016,0.612928,0.571448,64.61,-2.17,6.58,Noise,Right
1707209286995,0.50752,0.63196,0.567056,59.08,-12.18,13.16,Noise,Right
1707209286995,0.521184,0.658312,0.529968,17.85,-24.64,22.68,Noise,Right
1707209286995,0.469944,0.700768,0.591456,17.43,-39.9,16.17,Noise,Right
1707209286995,0.411384,0.59536,0.610488,27.02,-48.02,22.26,Noise,Right
1707209286995,0.423096,0.621224,0.59048,29.54,-48.02,19.88,Noise,Right
1707209286995,0.523136,0.576816,0.65392,35.42,-38.64,22.05,Noise,Right
1707209286995,0.590968,0.594384,0.60756,20.86,-27.09,13.16,Noise,Right
1707209287045,0.549,0.565104,0.52216,13.79,-17.99,11.34,Noise,Right
1707209287045,0.510936,0.589504,0.464088,-6.23,-16.45,8.75,Noise,Right
1707209287045,0.526552,0.58072,0.499712,-30.03,-21.07,10.92,Noise,Right
1707209287045,0.427976,0.671,0.571936,-111.23,37.87,-10.22,Noise,Right
1707209287093,0.5734,0.526064,0.565104,-43.05,17.01,0.42,Noise,Right
1707209287093,0.589016,0.52948,0.586576,-25.97,32.13,0.0,Noise,Right
1707209287093,0.454328,0.410408,0.520208,-57.75,48.58,0.49,Noise,Right
1707209287137,0.498736,0.483608,0.626104,-100.73,59.01,6.16,Noise,Right
1707209287137,0.704672,0.412848,0.60756,-159.81,63.35,15.26,Noise,Right
1707209287183,0.635864,0.367952,0.770552,-189.56,62.09,22.4,Noise,Right
1707209287184,0.441152,0.315248,0.774456,-74.62,70.14,23.17,Noise,Right
1707209287184,0.419192,0.326472,0.751032,-56.91,78.47,17.43,Noise,Right
1707209287230,0.371368,0.260592,0.769576,-56.77,84.14,14.28,Noise,Right
1707209287231,0.392352,0.237168,0.808616,-58.38,94.71,18.06,Noise,Right
1707209287231,0.520696,0.325008,0.940864,-76.02,100.03,31.85,Noise,Right
1707209287276,0.562176,0.300608,1.162904,-95.27,95.55,53.34,Noise,Right
1707209287277,0.499224,0.32208,1.26636,-30.52,53.41,23.17,Noise,Right
1707209287277,0.388448,0.301584,1.09312,16.66,21.35,-1.68,Noise,Right
1707209287323,0.345016,0.293776,1.003816,20.65,9.59,-3.08,Noise,Right
1707209287323,0.362096,0.26352,0.891088,-18.48,7.56,-10.29,Noise,Right
1707209287371,0.382104,0.321592,0.839848,6.3,7.91,-7.49,Noise,Right
1707209287371,0.34648,0.27572,0.876936,2.38,10.29,-4.41,Noise,Right
1707209287371,0.315248,0.247416,0.830576,11.27,12.18,-6.86,Noise,Right
1707209287416,0.469456,0.316712,0.77348,-17.64,19.39,-9.73,Noise,Right
1707209287416,0.465064,0.352824,0.711992,-52.36,28.77,-9.24,Noise,Right
1707209287416,0.395768,0.238144,0.890112,-87.85,41.51,-7.21,Noise,Right
1707209287460,0.264008,0.248392,0.989664,-99.19,43.68,-6.23,Noise,Right
1707209287461,0.246928,0.205936,0.998448,-55.79,40.25,5.46,Noise,Right
1707209287508,0.247904,0.192272,1.024312,-51.24,39.48,15.19,Noise,Right
1707209287518,0.3416,0.182024,1.022848,-40.11,29.26,0.07,Noise,Right
1707209287522,0.355264,0.172264,0.960872,-33.39,21.35,-2.87,Noise,Right
1707209287556,0.246928,0.154208,1.04676,-46.2,19.74,-2.66,Noise,Right
1707209287556,0.172264,0.115168,1.294176,-8.47,6.58,-1.96,Noise,Right
1707209287556,0.211304,0.138592,1.391776,54.18,-22.82,-0.84,Noise,Right
1707209287601,0.133224,0.14396,1.248792,122.78,-52.5,-0.77,Noise,Right
1707209287601,0.27572,0.17812,1.10288,148.54,-70.84,0.77,Noise,Right
1707209287601,0.291336,0.267912,0.981856,160.58,-77.49,6.51,Noise,Right
1707209287648,0.381128,0.344528,0.932568,152.25,-76.65,9.24,Noise,Right
1707209287648,0.408944,0.365512,0.971608,127.96,-69.3,7.49,Noise,Right
1707209287694,0.395768,0.437248,1.065304,124.95,-79.59,11.9,Noise,Right
1707209287695,0.384544,0.498736,1.099952,120.4,-95.69,18.13,Noise,Right
1707209287695,0.319152,0.508496,1.122888,36.33,-102.69,11.48,Noise,Right
1707209287742,0.30744,0.435296,1.0126,142.66,-110.25,20.93,Noise,Right
1707209287742,0.362584,0.504592,0.724192,194.39,-108.08,28.42,Noise,Right
1707209287742,0.381128,0.504592,0.477264,188.93,-92.82,37.1,Noise,Right
1707209287789,0.472872,0.564128,0.235704,133.21,-74.48,40.95,Noise,Right
1707209287789,0.56852,0.573888,0.132736,52.22,-50.89,44.87,Noise,Right
1707209287789,0.528016,0.520208,0.142984,-38.08,-27.02,43.61,Noise,Right
1707209287835,0.457744,0.44164,0.274256,-90.3,-4.06,40.88,Noise,Right
1707209287836,0.35624,0.364048,0.424072,-107.45,21.07,34.79,Noise,Right
1707209287885,0.233264,0.327936,0.462624,-108.08,69.86,26.04,Noise,Right
1707209287885,0.271328,0.28792,0.494344,-110.74,79.52,23.1,Noise,Right
1707209287885,0.409432,0.16104,0.734928,-73.5,121.1,20.23,Noise,Right
1707209287929,0.580232,0.29036,0.980392,-29.61,124.11,23.38,Noise,Right
1707209287930,0.682224,0.326472,1.112152,-14.14,91.28,11.06,Noise,Right
1707209287930,0.574864,0.34892,1.207312,35.21,58.03,-0.14,Noise,Right
1707209287988,0.503128,0.38064,1.140456,39.41,33.74,-5.6,Noise,Right
1707209287988,0.57096,0.379176,1.062376,70.35,13.3,-4.62,Noise,Right
1707209287988,0.601704,0.409432,0.957456,20.93,-0.98,-11.27,Noise,Right
1707209288041,0.54656,0.450912,0.959896,65.8,-6.79,-6.3,Noise,Right
1707209288042,0.457744,0.429928,0.954528,94.01,-17.29,-3.15,Noise,Right
1707209288042,0.477752,0.397232,0.864736,86.87,-25.13,-1.96,Noise,Right
1707209288087,0.435296,0.43432,0.831064,89.81,-29.89,-0.56,Noise,Right
1707209288088,0.386008,0.504104,0.801784,90.93,-32.97,-1.54,Noise,Right
1707209288088,0.399672,0.47824,0.781288,77.42,-34.58,-0.77,Noise,Right
1707209288139,0.430416,0.501176,0.696376,61.18,-29.12,4.62,Noise,Right
1707209288139,0.437736,0.484096,0.705648,61.11,-29.54,0.91,Noise,Right
1707209288139,0.444568,0.493856,0.655872,49.0,-24.22,3.43,Noise,Right
1707209288221,0.447984,0.5124,0.6466,29.61,-15.4,7.56,Noise,Right
1707209288221,0.488,0.52948,0.605608,10.71,-6.09,11.13,Noise,Right
1707209288221,0.49532,0.542656,0.575352,-12.74,0.14,10.29,Noise,Right
1707209288221,0.582672,0.57096,0.59292,-34.72,0.28,5.46,Noise,Right
1707209288222,0.657824,0.577792,0.547536,-37.8,-2.94,-2.31,Noise,Right
1707209288322,0.583648,0.565592,0.608048,-40.11,-8.75,-10.71,Noise,Right
1707209288322,0.554368,0.511912,0.625616,-49.07,-9.52,-12.32,Noise,Right
1707209288322,0.484096,0.48556,0.665632,-44.38,-3.92,-12.04,Noise,Right
1707209288322,0.563152,0.457744,0.615856,-47.74,1.54,-9.73,Noise,Right
1707209288322,0.610976,0.489952,0.58316,-66.64,3.92,-10.15,Noise,Right
1707209288323,0.445544,0.457256,0.55876,-93.45,5.67,-12.32,Noise,Right
1707209288369,0.4514,0.462624,0.600728,-148.75,15.47,-10.01,Noise,Right
1707209288369,0.401136,0.4392,0.609024,-151.83,33.11,-4.76,Noise,Right
1707209288369,0.278648,0.24644,0.72712,-107.8,56.56,-11.76,Noise,Right
1707209288417,0.449936,0.353312,0.815448,-98.56,59.71,-14.49,Noise,Right
