timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1708331904511,0.864736,-0.25864,-0.457256,-16.45,7.7,50.61,Noise,Unknown
1708331904512,0.78812,-0.231312,-0.508496,-9.94,17.43,57.82,Noise,Unknown
1708331904512,0.715408,-0.20984,-0.549,3.5,22.96,50.4,Noise,Unknown
1708331904557,0.643184,-0.216672,-0.549,17.22,21.28,28.56,Noise,Unknown
1708331904558,0.689544,-0.203008,-0.528504,23.73,11.48,-4.55,Noise,Unknown
1708331904559,0.733464,-0.20008,-0.528992,18.27,-4.62,-37.87,Noise,Unknown
1708331904605,0.768112,-0.216184,-0.516792,13.37,-23.38,-61.88,Noise,Unknown
1708331904606,0.841312,-0.230336,-0.43188,13.86,-38.29,-70.0,Noise,Unknown
1708331904651,0.887672,-0.214232,-0.418704,9.66,-47.74,-58.73,Noise,Unknown
1708331904652,0.975512,-0.233264,-0.45872,5.81,-43.12,-38.08,Noise,Unknown
1708331904653,0.973072,-0.21472,-0.48556,-6.02,-29.33,-12.53,Noise,Unknown
1708331904697,1.042368,-0.11956,-0.57828,-8.19,-9.52,15.33,Noise,Right
1708331904698,0.986248,-0.077104,-0.567544,-9.94,-11.27,36.4,Noise,Right
1708331904699,0.848144,-0.133224,-0.582672,11.76,-4.27,36.96,Noise,Right
1708331904744,0.850584,-0.096624,-0.655384,9.87,-0.63,20.09,Noise,Right
1708331904744,0.84912,-0.143472,-0.637816,9.24,-0.42,-0.49,Noise,Right
1708331904746,0.84424,-0.1708,-0.632448,13.37,-0.21,-14.07,Noise,Right
1708331904789,0.84668,-0.211304,-0.555344,20.72,-1.12,-21.28,Noise,Right
1708331904790,0.867664,-0.259616,-0.496296,26.81,-4.76,-11.2,Noise,Right
1708331904837,0.858392,-0.287432,-0.476288,32.9,-2.87,6.16,Noise,Right
1708331904838,0.832528,-0.316224,-0.50264,31.08,4.97,20.58,Noise,Right
1708331904838,0.796416,-0.278648,-0.496296,15.26,19.04,25.55,Noise,Right
1708331904883,0.804224,-0.244976,-0.523136,11.06,35.49,24.22,Noise,Right
1708331904883,0.90768,-0.442616,-0.959408,12.74,42.98,15.61,Noise,Right
1708331904883,0.8174,-0.205448,-0.5002,23.52,19.32,9.8,Noise,Right
1708331904929,0.848144,-0.172264,-0.51484,14.7,12.39,-8.26,Noise,Right
1708331904929,0.917928,-0.179584,-0.488488,9.59,7.07,-23.38,Noise,Right
1708331904977,0.936472,-0.201056,-0.424072,2.52,0.63,-28.63,Noise,Right
1708331904977,0.91256,-0.252296,-0.386008,-1.12,-8.26,-0.77,Noise,Right
1708331904978,0.849608,-0.282064,-0.39284,5.74,-9.1,0.14,Noise,Right
1708331905021,0.806664,-0.290848,-0.403088,12.32,-1.19,12.81,Noise,Right
1708331905021,0.760304,-0.308416,-0.432856,12.39,6.16,17.92,Noise,Right
1708331905021,0.724192,-0.308904,-0.44652,2.59,11.27,16.94,Noise,Right
1708331905068,0.70028,-0.26108,-0.484096,4.48,13.09,14.91,Noise,Right
1708331905068,0.671488,-0.23912,-0.499712,12.04,13.51,7.14,Noise,Right
1708331905068,0.7564,-0.18056,-0.421632,11.27,-14.42,-3.92,Noise,Right
1708331905115,0.734928,-0.199592,-0.477752,34.93,-23.8,-23.31,Noise,Right
1708331905116,0.85888,-0.18788,-0.404064,11.83,-32.97,-44.03,Noise,Right
1708331905162,0.884256,-0.315736,-0.371368,-8.47,-44.87,-50.12,Noise,Right
1708331905163,1.031632,-0.333304,-0.365024,-16.45,-43.05,-29.89,Noise,Right
1708331905163,0.957944,-0.303048,-0.435784,-29.05,-20.3,-9.03,Noise,Right
1708331905208,0.862784,-0.249368,-0.559248,-45.22,-27.72,1.68,Noise,Right
1708331905209,0.850584,-0.221552,-0.70272,-41.79,-15.19,13.23,Noise,Right
1708331905209,0.787632,-0.154696,-0.757864,-28.63,2.03,26.53,Noise,Right
1708331905259,0.754448,-0.12932,-0.87108,6.58,18.41,18.62,Noise,Right
1708331905259,0.747616,-0.136152,-0.75396,28.7,28.35,24.71,Noise,Right
1708331905378,0.927688,-0.13664,-0.56852,45.92,36.33,18.97,Noise,Right
1708331905379,0.88816,-0.338184,-0.40748,-15.54,40.25,16.03,Noise,Right
1708331905379,0.994544,-0.33672,-0.289384,20.3,44.38,15.19,Noise,Right
1708331905379,0.848144,-0.381616,-0.277184,7.14,35.42,10.64,Noise,Right
1708331905379,0.8662,-0.433832,-0.215696,-9.45,23.59,1.75,Noise,Right
1708331905379,0.77592,-0.41236,-0.1952,-51.1,-0.7,-7.77,Noise,Right
1708331905379,0.613904,-0.310856,-0.29524,-62.09,-25.69,-1.89,Noise,Right
1708331905423,0.640744,-0.187392,-0.462136,-40.81,-45.85,4.48,Noise,Right
1708331905423,0.762256,-0.135176,-0.411872,-33.32,-62.79,1.89,Noise,Right
1708331905424,0.84668,-0.106872,-0.450424,-25.69,-72.31,3.99,Noise,Right
1708331905469,0.978928,-0.122976,-0.545096,-9.94,-73.08,14.07,Noise,Right
1708331905469,0.884744,-0.1952,-0.576328,0.56,-60.97,24.15,Noise,Right
1708331905469,0.906216,-0.22692,-0.492392,3.64,-53.62,35.91,Noise,Right
1708331905516,0.799832,-0.328912,-0.520208,20.37,-42.7,45.85,Noise,Right
1708331905517,0.803736,-0.327936,-0.564616,31.78,-32.76,64.19,Noise,Right
1708331905517,0.737856,-0.339648,-0.60756,39.55,-24.92,71.96,Noise,Right
1708331905572,0.68076,-0.230336,-0.671,53.48,-22.96,73.08,Noise,Right
1708331905576,0.641232,-0.249856,-0.68564,60.97,-36.61,48.72,Noise,Right
1708331905607,0.677344,-0.196664,-0.660264,32.55,-70.49,1.75,Noise,Right
1708331905607,0.722728,-0.26596,-0.578768,-12.53,-120.54,-92.75,Noise,Right
1708331905608,0.779824,-0.282064,-0.428952,-92.61,-154.7,-173.74,Noise,Right
1708331905657,0.837408,-0.295728,-0.503616,-135.1,-144.62,-195.02,Noise,Right
1708331905658,0.857416,-0.29036,-0.550952,-117.32,-103.39,-136.71,Noise,Right
1708331905658,1.184376,-0.045872,-0.76372,-52.15,-16.52,-27.44,Noise,Right
1708331905774,1.05408,-0.053192,-1.10776,-14.63,1.75,100.1,Noise,Right
1708331905774,0.750056,-0.11224,-1.101904,70.21,60.06,143.57,Noise,Right
1708331905776,0.676856,-0.250344,-0.960384,111.65,86.45,150.85,Noise,Right
1708331905777,0.58804,-0.280112,-0.899872,123.48,105.84,131.95,Noise,Right
1708331905777,0.469944,-0.26352,-0.763232,115.29,98.98,87.64,Noise,Right
1708331905777,0.43188,-0.379176,-0.748592,96.18,60.27,5.39,Noise,Right
1708331905778,0.692472,-0.489952,-0.516304,66.92,44.66,10.22,Noise,Right
1708331905825,0.72468,-0.525576,-0.396256,47.95,27.23,-13.16,Noise,Right
1708331905826,0.751032,-0.596824,-0.26596,21.14,14.63,-27.72,Noise,Right
1708331905826,0.674416,-0.620736,-0.244976,4.34,6.09,-30.59,Noise,Right
1708331905873,0.655872,-0.54412,-0.277184,-24.78,-0.7,-23.8,Noise,Right
1708331905873,0.632448,-0.458232,-0.464088,-37.17,-4.13,3.71,Noise,Right
1708331905873,0.732488,-0.367952,-0.63684,-2.59,9.66,34.02,Noise,Right
1708331905919,0.69784,-0.286944,-0.583648,35.91,6.02,42.49,Noise,Right
1708331905919,0.774456,-0.344528,-0.558272,25.69,-15.54,10.15,Noise,Right
1708331905967,0.629032,-0.295728,-0.648552,47.04,-36.89,-12.25,Noise,Right
1708331905968,0.643184,-0.327936,-0.633424,75.11,-49.49,-15.33,Noise,Right
1708331905968,0.887184,-0.459696,-0.427488,83.37,-58.52,-18.83,Noise,Right
1708331906079,0.888648,-0.515816,-0.338672,45.64,-54.74,-15.54,Noise,Right
1708331906079,0.864248,-0.493368,-0.451888,5.95,-40.53,-13.23,Noise,Right
1708331906080,0.765184,-0.441152,-0.557296,-17.71,-32.83,-20.09,Noise,Right
1708331906081,0.779336,-0.44896,-0.58316,-6.72,-30.1,-23.59,Noise,Right
1708331906081,0.781776,-0.401136,-0.658312,19.67,-17.08,-7.7,Noise,Right
1708331906082,0.720288,-0.391376,-0.62952,31.22,-8.26,-3.01,Noise,Right
1708331906082,0.678808,-0.39284,-0.681248,55.09,-3.99,-0.07,Noise,Right
1708331906179,0.606584,-0.463112,-0.645624,86.87,-10.22,-4.76,Noise,Right
1708331906180,0.68076,-0.548512,-0.498248,102.2,-25.2,-19.32,Noise,Right
1708331906180,0.670512,-0.549,-0.336232,75.95,-32.2,-27.02,Noise,Right
