timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1708342116301,0.56852,-0.427488,-0.76616,72.8,-41.23,3.43,Noise,Unknown
1708342116301,0.801784,-0.752008,-0.957456,195.23,-42.14,0.49,Noise,Unknown
1708342116301,0.526552,-0.579744,-0.723704,88.62,-45.92,-4.76,Noise,Unknown
1708342116301,0.494344,-0.5978,-0.71492,139.51,-48.79,-7.98,Noise,Unknown
1708342116302,0.451888,-0.418216,-0.676856,125.3,-46.97,-9.87,Noise,Unknown
1708342116302,0.430416,-0.36844,-0.71248,-77.42,-30.17,-8.96,Noise,Unknown
1708342116305,0.528992,-0.472384,-0.787632,-21.7,-33.25,-6.16,Noise,Unknown
1708342116355,0.545584,-0.442128,-0.81252,-5.25,-28.35,-4.48,Noise,Unknown
1708342116355,0.516792,-0.464088,-0.820328,-1.61,-22.05,-2.73,Noise,Unknown
1708342116355,0.475312,-0.495808,-0.814472,1.26,-15.89,-2.94,Noise,Unknown
1708342116404,0.47336,-0.493368,-0.815936,8.47,-12.88,-3.36,Noise,Right
1708342116404,0.438224,-0.466528,-0.8052,14.91,-8.96,-4.13,Noise,Right
1708342116404,0.454328,-0.491904,-0.783728,13.72,-6.86,-6.3,Noise,Right
1708342116507,0.510936,-0.521672,-0.720288,14.7,-7.63,-10.99,Noise,Right
1708342116507,0.511424,-0.520208,-0.691984,-4.2,-4.83,-13.51,Noise,Right
1708342116507,0.501664,-0.388448,-0.709064,-18.69,-2.1,-13.79,Noise,Right
1708342116508,0.546072,-0.442616,-0.730048,-32.27,-1.47,-12.25,Noise,Right
1708342116508,0.504592,-0.457256,-0.745176,-29.96,-6.79,-12.18,Noise,Right
1708342116508,0.470432,-0.432368,-0.769088,-16.87,-5.04,-13.44,Noise,Right
1708342116557,0.4758,-0.426024,-0.762744,4.48,-7.7,-7.98,Noise,Right
1708342116557,0.487512,-0.415776,-0.785192,8.75,-35.0,21.7,Noise,Right
1708342116557,0.44164,-0.439688,-0.699792,-7.63,-30.03,5.81,Noise,Right
1708342116606,0.48312,-0.514352,-0.77836,2.1,-45.36,8.47,Noise,Right
1708342116608,0.430416,-0.4758,-0.784704,-5.67,-49.98,7.14,Noise,Right
1708342116608,0.464088,-0.454816,-0.80276,-18.2,-45.85,3.29,Noise,Right
1708342116719,0.497272,-0.423096,-0.825208,-23.87,-39.34,-1.89,Noise,Right
1708342116719,0.486536,-0.46116,-0.814472,-20.86,-26.32,-1.82,Noise,Right
1708342116719,0.482144,-0.458232,-0.874008,-14.7,-2.52,7.0,Noise,Right
1708342116719,0.472872,-0.40016,-0.952088,-16.38,26.39,16.52,Noise,Right
1708342116720,0.535336,-0.523624,-0.915488,-73.01,37.66,17.85,Noise,Right
1708342116720,0.396256,-0.447496,-0.89548,-167.02,39.83,33.95,Noise,Right
1708342116810,0.611464,-0.437736,-0.861808,-96.81,25.2,47.95,Noise,Right
1708342116810,0.677344,-0.081984,-0.824232,-121.31,20.58,69.09,Noise,Right
1708342116810,0.545096,-0.049776,-0.881328,-49.56,26.88,84.63,Noise,Right
1708342116810,0.516792,-0.196664,-0.870104,-10.85,73.99,49.63,Noise,Right
1708342116810,0.589992,-0.155184,-0.888648,-83.72,127.05,10.57,Noise,Right
1708342116811,0.7076,-0.264008,-0.928664,-141.26,151.48,-18.9,Noise,Right
1708342116913,0.657336,-0.09272,-0.877912,-117.81,158.2,-33.67,Noise,Right
1708342116914,0.538752,-0.03904,-0.83936,-197.68,169.68,-21.91,Noise,Right
1708342116914,0.480192,-0.187392,-0.83204,-130.34,160.65,-11.2,Noise,Right
1708342116914,0.511424,-0.053192,-0.734928,-87.5,135.31,-5.53,Noise,Right
1708342116914,0.45384,-0.246928,-0.716384,-73.71,87.64,-15.19,Noise,Right
1708342116914,0.500688,-0.150792,-0.601704,-58.38,37.8,-38.36,Noise,Right
1708342116964,0.561688,-0.116632,-0.619272,-96.46,-0.35,-55.44,Noise,Right
1708342116964,0.572912,-0.124928,-0.659288,-124.32,-22.82,-73.08,Noise,Right
1708342116964,0.57584,-0.02196,-0.70272,-117.81,-30.24,-99.26,Noise,Right
1708342117008,0.580232,-0.087352,-0.629032,-65.73,14.84,-104.72,Noise,Right
1708342117009,0.488488,-0.031232,-0.635376,-62.44,64.75,-97.09,Noise,Right
1708342117009,0.743712,-0.015128,-0.620736,-46.9,84.28,-80.78,Noise,Right
1708342117064,0.698816,-0.038064,-0.611464,-33.81,66.15,-48.93,Noise,Right
1708342117064,0.694912,-0.038552,-0.60024,-30.03,33.67,-18.97,Noise,Right
