timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1720414579430,0.659776,-0.306952,-0.700768,-8.47,-21.56,6.37,Noise,Unknown
1720414579431,0.648552,-0.310856,-0.696864,-6.44,-20.37,7.63,Noise,Unknown
1720414579431,0.641232,-0.29036,-0.711992,-4.48,-18.83,6.93,Noise,Unknown
1720414579481,0.61244,-0.297192,-0.696376,3.5,-20.09,4.9,Noise,Unknown
1720414579484,0.689544,-0.311344,-0.687592,-1.05,-21.84,5.46,Noise,Unknown
1720414579523,0.659776,-0.284504,-0.711016,-5.74,-20.44,6.58,Noise,Unknown
1720414579525,0.645136,-0.292312,-0.718336,-5.39,-18.06,5.81,Noise,Unknown
1720414579525,0.618296,-0.293288,-0.713456,-2.94,-16.24,4.76,Noise,Unknown
1720414579571,0.638304,-0.296216,-0.723704,-2.52,-14.63,3.71,Noise,Unknown
1720414579572,0.621712,-0.284016,-0.72712,-1.4,-12.39,1.61,Noise,Unknown
1720414579572,0.63684,-0.294752,-0.72224,-1.4,-9.24,0.98,Noise,Right
1720414579619,0.630008,-0.289384,-0.723216,-0.77,-7.7,1.33,Noise,Right
1720414579619,0.630008,-0.301584,-0.720288,1.96,-7.91,1.4,Noise,Right
1720414579619,0.613904,-0.306952,-0.700768,0.49,-9.31,1.19,Noise,Right
1720414579666,0.61732,-0.302072,-0.711992,-6.16,-11.48,3.71,Noise,Right
1720414579666,0.610976,-0.31476,-0.71004,-2.66,-16.17,4.9,Noise,Right
1720414579712,0.628544,-0.305,-0.706136,-3.99,-21.42,6.44,Noise,Right
1720414579712,0.599264,-0.309392,-0.705648,-5.32,-22.4,0.7,Noise,Right
1720414579712,0.609024,-0.306952,-0.721752,-2.66,-23.31,3.43,Noise,Right
1720414579760,0.601704,-0.306952,-0.718824,-0.28,-21.98,5.6,Noise,Right
1720414579760,0.591456,-0.303048,-0.740296,-0.56,-21.77,6.37,Noise,Right
1720414579760,0.601216,-0.308904,-0.747128,0.35,-21.35,5.88,Noise,Right
1720414579806,0.630984,-0.304024,-0.748592,-3.29,-21.07,11.76,Noise,Right
1720414579807,0.615856,-0.319152,-0.73932,9.8,-19.67,8.26,Noise,Right
1720414579807,0.608536,-0.303048,-0.73932,2.38,-18.06,2.1,Noise,Right
1720414579854,0.606096,-0.308416,-0.74664,-0.35,-16.45,-0.63,Noise,Right
1720414579854,0.598288,-0.314272,-0.75884,1.68,-17.99,4.34,Noise,Right
1720414579854,0.577792,-0.316224,-0.7564,3.99,-22.33,5.88,Noise,Right
1720414579899,0.546072,-0.3172,-0.75152,0.35,-28.98,3.92,Noise,Right
1720414579899,0.520696,-0.320616,-0.752008,2.17,-28.84,2.8,Noise,Right
1720414579946,0.506056,-0.321592,-0.756888,2.87,-22.61,-1.26,Noise,Right
1720414579946,0.50752,-0.315248,-0.764696,6.16,-14.14,-4.55,Noise,Right
1720414579946,0.518744,-0.317688,-0.766648,9.17,-4.55,-5.6,Noise,Right
1720414579992,0.506056,-0.327448,-0.762744,11.13,3.64,-5.6,Noise,Right
1720414579992,0.510936,-0.320128,-0.762744,14.7,9.31,-6.16,Noise,Right
1720414579992,0.514352,-0.323056,-0.774456,17.36,13.3,-7.35,Noise,Right
1720414580038,0.511912,-0.313296,-0.792512,24.85,11.9,-12.95,Noise,Right
1720414580039,0.544608,-0.313784,-0.813008,28.49,10.99,-20.37,Noise,Right
1720414580088,0.594384,-0.29768,-0.859368,36.47,14.63,-25.27,Noise,Right
1720414580088,0.612928,-0.322568,-0.843752,56.07,19.95,-26.32,Noise,Right
1720414580088,0.609024,-0.341112,-0.790072,63.49,19.46,-23.8,Noise,Right
1720414580131,0.598776,-0.367952,-0.696864,66.15,16.45,-18.69,Noise,Right
1720414580131,0.61976,-0.378688,-0.646112,56.91,15.05,-14.42,Noise,Right
1720414580131,0.61,-0.396256,-0.650016,51.31,17.92,-10.22,Noise,Right
1720414580179,0.595848,-0.38552,-0.6954,51.03,19.74,-7.84,Noise,Right
1720414580179,0.571448,-0.38796,-0.745664,76.58,24.22,-4.62,Noise,Right
1720414580179,0.518744,-0.371368,-0.705648,98.91,30.24,0.91,Noise,Right
1720414580225,0.506056,-0.411872,-0.612928,109.13,35.98,4.06,Noise,Right
1720414580226,0.528992,-0.433344,-0.502152,103.04,36.26,2.17,Noise,Right
1720414580272,0.599264,-0.443104,-0.40504,88.55,31.36,-4.55,Noise,Right
1720414580273,0.692472,-0.431392,-0.437248,52.22,29.54,-9.45,Noise,Right
1720414580273,0.836432,-0.455792,-0.466528,18.41,34.16,-11.06,Noise,Right
1720414580319,0.637328,-0.25376,-0.497272,-118.86,-20.09,12.88,Noise,Right
1720414580319,0.798368,-0.48556,-0.474336,-18.62,8.19,-4.2,Noise,Right
1720414580319,0.723216,-0.5124,-0.477752,-38.99,-3.15,-8.75,Noise,Right
1720414580364,0.659288,-0.475312,-0.492392,-51.03,-6.51,-12.88,Noise,Right
1720414580364,0.67588,-0.45872,-0.548024,-59.5,-7.84,-14.49,Noise,Right
1720414580364,0.66124,-0.435784,-0.540704,-60.48,-10.22,-14.84,Noise,Right
1720414580410,0.671,-0.427,-0.57096,-67.34,-12.18,-15.75,Noise,Right
1720414580410,0.662216,-0.425048,-0.562176,-68.67,-14.56,-16.87,Noise,Right
1720414580458,0.66856,-0.405528,-0.572912,-76.72,-16.52,-18.2,Noise,Right
1720414580458,0.660264,-0.393816,-0.63684,-54.25,-21.77,-17.36,Noise,Right
1720414580458,0.576328,-0.42212,-0.635864,-10.64,-24.71,-11.69,Noise,Right
1720414580505,0.676368,-0.365512,-0.55144,-36.68,-26.6,-13.58,Noise,Right
1720414580505,0.706136,-0.371856,-0.550464,-68.67,-34.72,-13.93,Noise,Right
1720414580505,0.667584,-0.305976,-0.691008,-83.93,-37.66,-18.41,Noise,Right
1720414580552,0.638304,-0.31232,-0.789584,-64.82,-34.16,-19.74,Noise,Right
1720414580553,0.612928,-0.269376,-0.772992,-37.52,-27.72,-19.39,Noise,Right
1720414580557,0.579256,-0.26596,-0.723216,-23.31,-25.83,-18.41,Noise,Right
1720414580598,0.5002,-0.264496,-0.72712,-17.78,-26.18,-16.1,Noise,Right
1720414580599,0.523136,-0.215696,-0.716384,-4.97,-29.75,-12.18,Noise,Right
1720414580645,0.542168,-0.205448,-0.752496,4.27,-30.73,-5.32,Noise,Right
1720414580645,0.52948,-0.2196,-0.796416,21.14,-31.36,1.75,Noise,Right
1720414580645,0.528504,-0.369416,-0.843264,44.31,-28.91,8.82,Noise,Right
1720414580691,0.589504,-0.232776,-0.831552,65.8,-26.81,12.95,Noise,Right
1720414580692,0.58072,-0.249368,-0.804224,67.76,-24.22,10.01,Noise,Right
1720414580692,0.61488,-0.306952,-0.811544,74.83,-17.71,9.38,Noise,Right
1720414580738,0.650016,-0.309392,-0.72712,76.72,-11.83,10.29,Noise,Right
1720414580738,0.669048,-0.360632,-0.676856,71.82,-6.58,10.92,Noise,Right
1720414580738,0.69784,-0.374784,-0.693448,55.16,-2.38,6.65,Noise,Right
1720414580785,0.641232,-0.420656,-0.692472,19.74,-2.87,3.01,Noise,Right
1720414580786,0.647088,-0.398696,-0.705648,11.2,-1.47,-0.49,Noise,Right
1720414580832,0.612928,-0.388448,-0.733952,10.99,-0.63,-4.27,Noise,Right
1720414580832,0.549976,-0.384056,-0.699792,24.43,-2.52,-5.04,Noise,Right
1720414580832,0.467504,-0.399672,-0.587552,24.43,-9.94,-11.2,Noise,Right
1720414580878,0.540704,-0.388448,-0.51972,8.68,-22.12,-17.64,Noise,Right
1720414580878,0.574864,-0.357704,-0.364536,-19.67,-36.75,-29.05,Noise,Right
1720414580878,0.575352,-0.378688,-0.45872,-39.13,-53.06,-16.87,Noise,Right
1720414580925,0.504104,-0.336232,-0.637816,-88.34,-57.47,-7.14,Noise,Right
1720414580925,0.435784,-0.318664,-0.789096,-83.72,-61.11,-1.33,Noise,Right
1720414580926,0.416264,-0.293776,-0.829112,-51.38,-60.13,1.19,Noise,Right
1720414580970,0.554368,-0.271816,-0.88816,-44.73,-56.49,-2.52,Noise,Right
1720414580970,0.549,-0.284016,-0.8906,-35.42,-51.94,-8.19,Noise,Right
1720414581017,0.640744,-0.275232,-0.750544,-34.3,-43.82,-6.72,Noise,Right
1720414581018,0.724192,-0.301096,-0.913536,-25.76,-30.17,-1.12,Noise,Right
1720414581018,0.55876,-0.31964,-0.942328,-10.92,-19.11,-1.4,Noise,Right
1720414581064,0.604632,-0.320128,-0.935984,7.49,-6.72,-3.99,Noise,Right
1720414581064,0.581696,-0.308904,-0.872544,21.0,3.57,-6.58,Noise,Right
1720414581078,0.498736,-0.29524,-0.862784,25.62,9.45,-8.96,Noise,Right
1720414581111,0.503616,-0.279136,-0.855952,30.66,13.16,-8.89,Noise,Right
1720414581111,0.4514,-0.274256,-0.894992,39.13,18.13,-8.19,Noise,Right
1720414581112,0.425048,-0.284016,-0.866688,52.29,20.86,-8.96,Noise,Right
1720414581157,0.419192,-0.248392,-0.845216,56.14,17.78,-15.61,Noise,Right
1720414581157,0.398208,-0.342088,-0.725168,49.84,8.61,-25.27,Noise,Right
1720414581204,0.537776,-0.322568,-0.715408,44.24,8.75,-11.76,Noise,Right
1720414581204,0.553392,-0.365512,-0.66612,24.99,1.89,-16.73,Noise,Right
1720414581204,0.596336,-0.366,-0.6954,10.57,-1.4,-17.22,Noise,Right
1720414581251,0.51728,-0.362584,-0.72224,3.99,-2.38,-15.19,Noise,Right
1720414581252,0.541192,-0.343064,-0.692472,6.72,-3.57,-12.25,Noise,Right
1720414581252,0.494832,-0.3538,-0.70516,7.35,-7.14,-10.71,Noise,Right
1720414581297,0.468968,-0.338184,-0.765184,7.28,-10.92,-9.87,Noise,Right
1720414581297,0.456768,-0.31964,-0.789584,13.51,-14.91,-9.87,Noise,Right
1720414581343,0.413336,-0.342576,-0.762744,19.25,-19.18,-12.39,Noise,Right
1720414581343,0.4758,-0.366,-0.728096,27.16,-25.27,-17.92,Noise,Right
1720414581343,0.526552,-0.330376,-0.717848,25.76,-30.45,-24.5,Noise,Right
1720414581390,0.61488,-0.364536,-0.672952,18.27,-33.53,-28.28,Noise,Right
1720414581390,0.644648,-0.362584,-0.732488,-1.33,-32.69,-26.18,Noise,Right
1720414581390,0.604144,-0.38796,-0.746152,-5.74,-29.4,-25.55,Noise,Right
1720414581437,0.531432,-0.365512,-0.796904,-11.41,-26.67,-25.41,Noise,Right
1720414581437,0.540216,-0.347456,-0.789584,-12.11,-24.92,-23.03,Noise,Right
1720414581437,0.48312,-0.32696,-0.821792,-12.53,-21.84,-20.3,Noise,Right
1720414581483,0.432368,-0.312808,-0.790072,-13.86,-20.23,-14.91,Noise,Right
1720414581483,0.521672,-0.288408,-0.794952,-11.55,-16.45,-10.57,Noise,Right
1720414581529,0.449936,-0.290848,-0.837896,-23.45,-16.59,-7.77,Noise,Right
1720414581529,0.493368,-0.264984,-0.848632,-19.67,-13.44,-3.78,Noise,Right
1720414581529,0.44408,-0.281576,-0.867664,-11.83,-8.82,1.12,Noise,Right
1720414581576,0.557784,-0.25132,-0.938424,8.89,-0.91,7.63,Noise,Right
1720414581577,0.467504,-0.247904,-0.887672,15.4,5.18,7.7,Noise,Right
1720414581577,0.40504,-0.31232,-0.848144,29.96,9.87,9.8,Noise,Right
1720414581623,0.579744,-0.307928,-0.72224,38.85,9.24,7.98,Noise,Right
1720414581625,0.62464,-0.347944,-0.713456,21.21,10.29,7.35,Noise,Right
1720414581625,0.678808,-0.372832,-0.725168,11.06,11.83,8.54,Noise,Right
1720414581668,0.557296,-0.363072,-0.726144,2.73,15.82,13.23,Noise,Right
1720414581668,0.489464,-0.328424,-0.737368,2.38,16.59,16.31,Noise,Right
1720414581713,0.542168,-0.332328,-0.74176,-0.07,13.51,14.77,Noise,Right
1720414581714,0.624152,-0.33672,-0.71248,-7.21,10.36,9.87,Noise,Right
1720414581714,0.633912,-0.3538,-0.85888,-11.34,13.65,11.62,Noise,Right
1720414581762,0.60756,-0.342088,-0.777384,-6.72,24.29,24.99,Noise,Right
1720414581762,0.547048,-0.323056,-0.764208,8.68,34.23,38.29,Noise,Right
1720414581762,0.503616,-0.29768,-0.785192,26.11,41.58,46.48,Noise,Right
