timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1722414685393,0.79544,0.0244,0.716384,16.73,17.15,55.58,Noise,Unknown
1722414685393,0.726144,0.031232,0.74664,-45.43,31.08,51.87,Noise,Unknown
1722414685393,0.772504,0.010248,0.791536,-34.93,34.02,31.78,Noise,Unknown
1722414685393,0.775432,-0.009272,0.796416,-16.73,38.43,10.99,Noise,Unknown
1722414685393,0.763232,-0.016104,0.818376,19.46,43.54,-13.86,Noise,Unknown
1722414685393,0.718824,0.00732,0.828136,49.56,50.12,-42.21,Noise,Unknown
1722414685396,0.720288,-0.045872,0.752496,72.52,50.05,-61.25,Noise,Unknown
1722414685396,0.77348,-0.021472,0.726144,76.51,18.2,-54.46,Noise,Unknown
1722414685445,0.771528,0.08296,0.713456,41.09,-21.98,-13.51,Noise,Unknown
1722414685445,0.789096,0.086376,0.66856,7.35,-49.21,29.26,Noise,Unknown
1722414685445,0.831552,0.123952,0.66124,-3.29,-49.7,45.01,Noise,Right
1722414685494,0.874496,0.122488,0.660752,-17.78,-21.84,36.05,Noise,Right
1722414685494,0.80032,0.00732,0.686616,-27.93,1.89,18.76,Noise,Right
1722414685494,0.80764,0.018544,0.647088,-14.0,3.71,-9.38,Noise,Right
1722414685537,0.845704,-0.05368,0.654408,-3.36,-15.4,-24.5,Noise,Right
1722414685538,0.903288,-0.080032,0.62952,-6.65,-49.91,-6.16,Noise,Right
1722414685538,0.9028,0.22448,1.03944,-31.01,-70.77,38.01,Noise,Right
1722414685585,0.960384,0.12932,0.673928,-31.57,-45.64,54.25,Noise,Right
1722414685585,0.928664,0.109312,0.682712,-63.49,-23.66,62.58,Noise,Right
1722414685631,0.896456,0.140544,0.716872,-78.75,-1.75,48.3,Noise,Right
1722414685632,0.901336,-0.016104,0.687104,-43.33,20.58,13.93,Noise,Right
1722414685632,0.854488,-0.044896,0.704184,-3.15,36.4,-28.21,Noise,Right
1722414685678,0.87352,-0.067832,0.704672,29.47,48.65,-56.0,Noise,Right
1722414685679,0.863272,-0.061488,0.696864,41.86,55.86,-66.71,Noise,Right
1722414685679,0.860344,-0.045872,0.710528,37.59,61.11,-61.32,Noise,Right
1722414685724,0.890112,0.044408,0.718824,5.95,76.79,-39.62,Noise,Right
1722414685724,0.860832,0.110776,0.772016,-20.58,100.73,-8.47,Noise,Right
1722414685724,0.762256,0.183488,0.816424,-69.51,121.66,2.24,Noise,Right
1722414685771,0.688568,0.180072,0.811056,-113.47,132.86,-12.04,Noise,Right
1722414685771,0.559248,0.040504,0.805688,-95.06,145.18,-30.52,Noise,Right
1722414685817,0.510448,-0.176656,0.83692,-58.94,148.26,-31.36,Noise,Right
1722414685817,0.581208,-0.237656,0.862296,-46.97,124.18,8.19,Noise,Right
1722414685817,0.659776,-0.22204,0.917928,-66.08,102.55,82.6,Noise,Right
1722414685864,0.772992,-0.223992,0.909632,-100.8,94.99,172.83,Noise,Right
