timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1677415630392,-0.945744,-0.165432,-0.309392,2.66,-1.05,-2.59,Noise,Unknown
1677415630392,-0.94428,-0.170312,-0.306952,3.15,-2.17,-2.03,Noise,Unknown
1677415630394,-0.950624,-0.16836,-0.29768,2.8,-4.41,-1.68,Noise,Unknown
1677415630394,-0.947208,-0.155184,-0.28304,2.1,-5.25,-1.12,Noise,Unknown
1677415630394,-0.939888,-0.150792,-0.272304,0.63,-3.99,-0.35,Noise,Unknown
1677415630394,-0.946232,-0.146888,-0.28792,1.33,-2.03,-0.77,Noise,Unknown
1677415630516,-0.939888,-0.146888,-0.298168,2.1,-1.82,-2.1,Noise,Unknown
1677415630517,-0.941352,-0.154696,-0.296216,3.92,-0.91,-3.15,Noise,Unknown
1677415630517,-0.929152,-0.16104,-0.29036,3.43,0.07,-1.54,Noise,Unknown
1677415630517,-0.928176,-0.161528,-0.290848,2.1,1.47,1.26,Noise,Unknown
1677415630517,-0.926712,-0.159088,-0.296216,-1.19,2.17,3.08,Noise,Unknown
1677415630517,-0.952576,-0.164456,-0.300608,0.42,4.76,2.45,Stab,Right
1677415630517,-0.915976,-0.155672,-0.331352,-1.54,3.22,-0.84,Stab,Right
1677415630576,-0.948672,-0.150792,-0.344528,2.66,5.18,-0.56,Stab,Right
1677415630579,-0.96136,-0.161528,-0.363072,-1.68,3.15,-0.63,Stab,Right
1677415630579,-0.967704,-0.169824,-0.344528,-1.61,-0.49,-2.03,Stab,Right
1677415630579,-0.93452,-0.171288,-0.326472,-0.56,-0.98,-3.22,Stab,Right
1677415630701,-0.908168,-0.172752,-0.293288,-0.63,-0.77,-2.94,Stab,Right
1677415630701,-0.869128,-0.181048,-0.260104,-3.43,2.31,-2.03,Stab,Right
1677415630701,-0.882792,-0.173728,-0.237656,-3.22,10.64,0.42,Stab,Right
1677415630701,-0.857416,-0.164456,-0.277672,-6.79,17.71,2.8,Stab,Right
1677415630702,-0.89304,-0.162992,-0.33184,-3.43,22.05,6.37,Stab,Right
1677415630702,-0.88328,-0.140544,-0.347944,-1.12,20.58,7.28,Stab,Right
1677415630702,-0.89792,-0.13664,-0.342576,-2.66,10.64,3.36,Stab,Right
