timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1682577229639,0.847656,-0.45872,0.257176,-3.01,-20.16,-39.9,Noise,Unknown
1682577229639,0.847656,-0.467992,0.214232,2.45,17.01,-35.84,Noise,Unknown
1682577229639,0.733952,-0.452864,0.133224,8.96,47.95,-24.5,Noise,Unknown
1682577229639,0.605608,-0.38552,0.032208,33.74,66.08,-18.48,Noise,Unknown
1682577229639,0.61732,-0.368928,-0.034648,64.05,59.5,-34.37,Noise,Unknown
1682577229639,0.624152,-0.23668,-0.0854,66.57,19.39,-72.87,Noise,Unknown
1682577229691,0.83692,-0.228872,-0.11468,53.76,-35.98,-116.69,Noise,Unknown
1682577229691,0.943792,-0.35136,0.003904,22.82,-73.36,-120.61,Noise,Unknown
1682577229691,0.959408,-0.308416,0.059048,11.13,-86.73,-78.47,Noise,Unknown
1682577229815,1.053104,-0.264496,0.14152,7.0,-84.56,-32.06,Noise,Unknown
1682577229815,1.00284,-0.191784,0.255224,-8.89,-72.66,-28.21,Noise,Right
1682577229815,0.902312,-0.184952,0.284016,-21.91,-40.53,-42.84,Noise,Right
1682577229815,0.861808,-0.17568,0.264008,-20.3,27.3,-59.08,Noise,Right
1682577229816,0.863272,-0.178608,0.245464,-7.07,86.66,-72.87,Noise,Right
1682577229816,0.906216,-0.19032,0.186904,4.62,114.59,-84.77,Noise,Right
1682577229816,0.956968,-0.16348,0.085888,14.35,102.06,-87.29,Noise,Right
1682577229947,1.126304,-0.213256,0.032208,25.76,56.28,-78.19,Noise,Right
1682577229947,1.191696,-0.21472,0.112728,24.71,-15.47,-45.64,Noise,Right
1682577229948,1.172176,-0.17568,0.186904,23.38,-61.74,-10.15,Noise,Right
1682577229948,1.176568,-0.152744,0.303536,22.82,-81.62,12.18,Noise,Right
1682577229948,1.180472,-0.132248,0.389424,9.17,-81.48,25.9,Noise,Right
1682577229948,1.104344,-0.113704,0.382592,-4.9,-62.65,26.81,Noise,Right
1682577229948,1.018944,-0.147376,0.37332,-14.7,-23.1,19.67,Noise,Right
1682577229949,0.902312,-0.125904,0.28304,-22.61,22.68,0.84,Noise,Right
1682577230051,0.864248,-0.110288,0.146888,-25.9,58.24,-29.82,Noise,Right
1682577230051,0.875472,-0.147376,0.065392,-17.92,78.61,-61.6,Noise,Right
1682577230051,0.950136,-0.188856,0.051728,-6.16,78.47,-75.53,Noise,Right
1682577230051,1.032608,-0.199592,0.04148,1.54,54.53,-72.94,Noise,Right
1682577230051,1.090192,-0.205448,0.093696,9.1,11.9,-58.38,Noise,Right
1682577230051,1.115568,-0.186416,0.179096,12.95,-26.39,-33.74,Noise,Right
1682577230150,1.07116,-0.171288,0.273768,11.13,-53.06,-14.0,Noise,Right
1682577230151,1.05896,-0.158112,0.327936,4.9,-62.16,-2.87,Noise,Right
1682577230151,1.055056,-0.155672,0.376248,0.28,-53.69,8.05,Noise,Right
1682577230151,1.036512,-0.15372,0.384056,-5.53,-32.55,14.21,Noise,Right
1682577230151,1.021384,-0.14152,0.339648,-14.84,-10.15,15.4,Noise,Right
1682577230151,1.036512,-0.084424,0.2684,-21.63,9.8,11.06,Noise,Right
1682577230202,1.020408,-0.083448,0.182024,-17.85,25.9,0.63,Noise,Right
1682577230202,1.033584,-0.062952,0.101016,-14.07,29.19,-15.68,Noise,Right
1682577230202,1.067744,-0.088816,0.076616,-6.09,22.75,-24.15,Noise,Right
1682577230325,1.101904,-0.103456,0.086864,4.69,10.43,-21.7,Noise,Right
1682577230325,1.138992,-0.133712,0.132736,8.82,-7.0,-10.22,Noise,Right
1682577230326,1.101416,-0.145912,0.203496,8.96,-21.7,5.53,Noise,Right
1682577230326,1.069696,-0.156648,0.252296,3.57,-27.58,20.37,Noise,Right
1682577230326,1.033584,-0.1708,0.297192,-2.8,-23.52,30.24,Noise,Right
1682577230327,0.990152,-0.180072,0.29768,-7.63,-11.62,36.89,Noise,Right
1682577230327,0.986736,-0.215208,0.301584,-12.74,-2.45,38.29,Noise,Right
1682577230457,1.022848,-0.232776,0.291824,-28.91,-1.75,39.69,Noise,Right
1682577230457,0.972096,-0.20496,0.232776,-35.56,-2.45,48.02,Noise,Right
1682577230457,0.901336,-0.174216,0.003416,-18.06,-4.48,48.02,Noise,Right
1682577230457,0.940864,-0.208376,0.078568,-3.43,-21.49,30.59,Noise,Right
1682577230458,0.968192,-0.249368,0.112728,-0.28,-42.98,18.41,Noise,Right
1682577230458,0.975024,-0.296704,0.141032,4.97,-54.81,22.33,Noise,Right
1682577230458,0.963312,-0.295728,0.151768,5.74,-58.38,31.78,Noise,Right
1682577230458,0.94428,-0.30256,0.174704,3.99,-52.99,35.0,Noise,Right
1682577230568,0.900848,-0.305976,0.169824,-2.03,-40.25,31.5,Noise,Right
1682577230572,0.896944,-0.3172,0.15128,-2.8,-22.26,25.2,Noise,Right
1682577230573,0.91012,-0.338184,0.152744,-2.52,-2.73,19.95,Noise,Right
1682577230577,0.932568,-0.34648,0.126392,-2.8,11.83,20.58,Noise,Right
1682577230577,0.95648,-0.345992,0.0976,-3.29,18.06,23.87,Noise,Right
1682577230577,0.974048,-0.325008,0.047824,-1.19,11.83,24.5,Noise,Right
1682577230664,0.953064,-0.308416,0.016592,3.5,-3.71,17.99,Noise,Right
1682577230664,0.93452,-0.325496,0.028304,12.39,-18.2,9.87,Noise,Right
1682577230664,0.90524,-0.344528,0.077104,17.92,-26.88,6.86,Noise,Right
1682577230665,0.889136,-0.355752,0.124928,21.14,-27.3,8.54,Noise,Right
1682577230665,0.884256,-0.351848,0.157624,20.86,-22.19,8.75,Noise,Right
1682577230665,0.884256,-0.355264,0.211304,16.17,-8.4,8.12,Noise,Right
1682577230765,0.844728,-0.343552,0.2196,10.15,9.45,7.28,Noise,Right
1682577230765,0.849608,-0.3294,0.206912,8.19,27.23,2.03,Noise,Right
1682577230765,0.85156,-0.330376,0.1952,5.81,39.27,-6.02,Noise,Right
1682577230765,0.898408,-0.33184,0.184464,6.23,44.52,-12.95,Noise,Right
1682577230765,0.940376,-0.330376,0.157136,7.28,38.36,-12.95,Noise,Right
1682577230765,0.9516,-0.311344,0.147376,9.73,25.27,-13.16,Noise,Right
1682577230868,0.957944,-0.330376,0.167872,11.83,7.77,-15.82,Noise,Right
1682577230868,0.960872,-0.333792,0.181536,11.34,-8.82,-14.91,Noise,Right
1682577230868,0.966728,-0.33672,0.223504,13.65,-17.22,-6.65,Noise,Right
1682577230868,0.931592,-0.341112,0.2684,14.7,-15.82,0.77,Noise,Right
1682577230868,0.921344,-0.337696,0.300608,10.71,-9.73,3.5,Noise,Right
1682577230869,0.904264,-0.328912,0.311832,-0.91,-0.42,1.33,Noise,Right
1682577230971,0.899384,-0.327936,0.276208,-8.05,11.41,-2.31,Noise,Right
1682577230971,0.916464,-0.325496,0.233752,-10.08,18.83,-6.58,Noise,Right
1682577230971,0.977464,-0.33916,0.20252,-10.36,16.52,-6.44,Noise,Right
1682577230971,1.006744,-0.353312,0.143472,-11.9,-1.68,0.14,Noise,Right
1682577230971,1.013088,-0.346968,0.105896,-10.78,-23.38,9.94,Noise,Right
1682577230971,1.016992,-0.334768,0.0976,-6.93,-42.63,16.03,Noise,Right
1682577230972,0.976,-0.350384,0.115168,-1.82,-54.67,17.57,Noise,Right
1682577231021,0.955504,-0.362096,0.147864,-1.33,-57.61,17.5,Noise,Right
1682577231021,0.935008,-0.371368,0.20984,-2.31,-46.97,17.15,Noise,Right
1682577231021,0.915976,-0.380152,0.201544,-5.46,-27.02,16.87,Noise,Right
1682577231158,0.891088,-0.374296,0.190808,-8.89,-3.36,13.44,Noise,Right
1682577231160,0.879376,-0.374784,0.168848,-10.08,21.21,4.34,Noise,Right
