timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1682579228110,0.692472,-0.465552,-0.567056,9.03,0.21,-3.15,Noise,Unknown
1682579228111,0.682224,-0.456768,-0.569008,9.66,1.61,-3.36,Noise,Unknown
1682579228111,0.682712,-0.450912,-0.564616,10.36,2.59,-4.41,Noise,Unknown
1682579228111,0.696864,-0.4514,-0.550464,10.92,2.73,-6.09,Noise,Unknown
1682579228111,0.71248,-0.43188,-0.540704,8.4,0.7,-5.04,Noise,Unknown
1682579228111,0.72224,-0.425536,-0.547536,3.99,-1.89,-2.1,Noise,Unknown
1682579228212,0.718336,-0.438712,-0.542656,2.8,-4.69,0.35,Noise,Unknown
1682579228213,0.712968,-0.444568,-0.550464,2.52,-5.88,1.75,Noise,Unknown
1682579228213,0.699792,-0.456768,-0.549,3.29,-4.13,0.98,Noise,Unknown
1682579228213,0.69784,-0.467992,-0.561688,5.18,-1.89,-1.68,Noise,Unknown
1682579228213,0.704672,-0.468968,-0.560224,6.16,-0.14,-3.71,Noise,Right
1682579228213,0.707112,-0.467504,-0.554856,6.79,0.21,-4.62,Noise,Right
1682579228317,0.71492,-0.454816,-0.551928,7.21,0.14,-4.76,Noise,Right
1682579228318,0.717848,-0.452376,-0.545096,6.65,-0.21,-4.13,Noise,Right
1682579228318,0.72468,-0.454816,-0.542168,8.61,-1.68,-4.34,Noise,Right
1682579228318,0.732976,-0.445544,-0.526064,8.96,-4.62,-4.41,Noise,Right
1682579228318,0.730536,-0.448472,-0.532408,5.74,-8.4,-3.22,Noise,Right
1682579228318,0.718824,-0.446032,-0.531432,0.56,-11.27,-1.05,Noise,Right
1682579228418,0.69052,-0.447496,-0.538752,-7.63,-12.95,2.38,Noise,Right
1682579228419,0.682224,-0.453352,-0.56364,-3.29,-12.32,3.43,Noise,Right
1682579228419,0.672464,-0.47336,-0.572424,0.21,-7.28,1.4,Noise,Right
1682579228419,0.681736,-0.489464,-0.572424,2.94,-1.75,-2.31,Noise,Right
1682579228419,0.693936,-0.476776,-0.560224,4.34,1.61,-6.44,Noise,Right
1682579228419,0.702232,-0.457256,-0.549976,5.95,2.1,-8.61,Noise,Right
1682579228519,0.705648,-0.442128,-0.548512,7.0,0.63,-7.35,Noise,Right
1682579228520,0.70272,-0.441152,-0.543632,7.21,-0.77,-4.2,Noise,Right
1682579228520,0.691496,-0.456768,-0.542168,5.39,-1.05,-2.52,Noise,Right
1682579228520,0.699792,-0.443104,-0.542168,5.67,-0.42,-3.01,Noise,Right
1682579228520,0.71736,-0.442616,-0.543632,6.65,-0.49,-3.99,Noise,Right
1682579228520,0.726632,-0.447984,-0.523624,3.57,-2.87,-3.92,Noise,Right
1682579228626,0.731024,-0.44164,-0.526064,0.14,-6.02,-1.68,Noise,Right
1682579228626,0.730048,-0.436272,-0.524112,-6.09,-9.59,1.54,Noise,Right
1682579228626,0.708088,-0.441152,-0.548512,-3.36,-10.78,4.76,Noise,Right
1682579228627,0.687104,-0.460184,-0.55876,0.84,-8.54,4.34,Noise,Right
1682579228627,0.684176,-0.47336,-0.57096,4.2,-4.2,0.42,Noise,Right
1682579228627,0.691984,-0.489464,-0.566568,5.53,-0.14,-4.83,Noise,Right
1682579228723,0.70272,-0.467992,-0.553392,6.79,2.24,-8.12,Noise,Right
1682579228723,0.714432,-0.45872,-0.53924,8.05,2.24,-8.54,Noise,Right
1682579228723,0.721264,-0.454816,-0.537288,8.89,0.28,-6.58,Noise,Right
1682579228725,0.718824,-0.452376,-0.534848,8.12,-0.7,-4.48,Noise,Right
1682579228725,0.71736,-0.450424,-0.538264,7.56,-2.24,-3.01,Noise,Right
1682579228725,0.711016,-0.455304,-0.541192,5.18,-3.99,-2.94,Noise,Right
1682579228828,0.701744,-0.450912,-0.53192,3.01,-5.46,-3.22,Noise,Right
1682579228828,0.703696,-0.435784,-0.535824,0.91,-6.16,-2.24,Noise,Right
1682579228828,0.698328,-0.432368,-0.539728,-2.59,-5.32,-0.7,Noise,Right
1682579228828,0.696376,-0.434808,-0.545096,-0.42,-4.27,0.49,Noise,Right
1682579228828,0.68564,-0.447496,-0.554856,2.24,-1.89,1.19,Noise,Right
1682579228829,0.68076,-0.46848,-0.559736,3.85,2.1,2.03,Noise,Right
1682579228932,0.661728,-0.476776,-0.563152,3.29,8.19,3.57,Noise,Right
1682579228932,0.677344,-0.49044,-0.547048,4.55,16.52,6.37,Noise,Right
1682579228932,0.72712,-0.511912,-0.534848,1.47,23.03,7.98,Noise,Right
1682579228933,0.745664,-0.506544,-0.523136,-10.71,18.83,10.15,Noise,Right
1682579228933,0.790072,-0.430904,-0.4758,-21.07,-1.05,9.73,Noise,Right
1682579228933,0.783728,-0.467504,-0.496784,-25.13,-21.84,1.47,Noise,Right
1682579229037,0.750544,-0.498736,-0.551928,-14.14,-31.15,-15.26,Noise,Right
1682579229038,0.694912,-0.505568,-0.615856,-8.26,-24.71,-31.01,Noise,Right
1682579229038,0.669048,-0.520208,-0.629032,-4.76,-10.5,-38.78,Noise,Right
1682579229038,0.695888,-0.569496,-0.597312,-1.96,6.02,-40.46,Noise,Right
1682579229038,0.743224,-0.571448,-0.560712,-0.21,29.68,-43.54,Noise,Right
1682579229038,0.746152,-0.524112,-0.525576,1.96,48.44,-46.2,Noise,Right
1682579229137,0.750056,-0.459208,-0.529968,15.82,61.67,-47.39,Noise,Right
1682579229137,0.713944,-0.404064,-0.532408,27.65,65.31,-50.89,Noise,Right
1682579229138,0.659776,-0.323544,-0.575352,28.07,60.69,-55.51,Noise,Right
1682579229138,0.581208,-0.309392,-0.587552,26.18,51.59,-60.97,Noise,Right
1682579229138,0.572424,-0.309392,-0.550952,8.12,49.98,-69.72,Noise,Right
1682579229138,0.598288,-0.330376,-0.533384,-6.72,57.12,-79.87,Noise,Right
1682579229187,0.65148,-0.351848,-0.478728,-14.7,74.06,-90.3,Noise,Right
1682579229187,0.763232,-0.335256,-0.37332,-7.14,94.85,-104.65,Noise,Right
1682579229187,0.923296,-0.321104,-0.255224,7.49,109.13,-119.84,Noise,Right
1682579229315,0.96136,-0.29036,-0.238144,7.63,100.8,-133.63,Noise,Right
1682579229315,0.960872,-0.208376,-0.249368,5.25,80.71,-134.68,Noise,Right
1682579229315,0.935496,-0.114192,-0.280112,-3.01,64.26,-116.97,Noise,Right
1682579229317,0.913048,0.010248,-0.343064,-15.61,53.41,-80.57,Noise,Right
1682579229317,0.855952,0.103456,-0.360144,-10.92,41.79,-33.39,Noise,Right
1682579229317,0.854976,0.040992,-0.328424,-16.87,30.8,2.31,Noise,Right
1682579229317,0.916464,-0.033184,-0.271816,-16.66,30.52,14.77,Noise,Right
1682579229445,0.989664,-0.133712,-0.189344,-12.32,32.83,13.51,Noise,Right
1682579229445,1.067256,-0.128344,-0.092232,-2.94,32.27,2.03,Noise,Right
1682579229445,1.112152,-0.108336,-0.068808,9.66,25.41,-14.56,Noise,Right
1682579229445,1.091168,-0.10492,-0.0732,17.29,8.4,-27.51,Noise,Right
1682579229445,1.051152,-0.141032,-0.11712,13.51,-5.53,-33.11,Noise,Right
1682579229445,1.016504,-0.123952,-0.144448,5.04,-8.26,-30.94,Noise,Right
1682579229445,0.994544,-0.050264,-0.171776,6.72,-0.98,-24.43,Noise,Right
1682579229445,0.984296,0.036112,-0.16836,4.83,4.2,-8.68,Noise,Right
1682579229547,0.960872,0.071736,-0.176656,0.42,-4.55,14.35,Noise,Right
1682579229547,0.952576,0.051728,-0.211304,-4.27,-11.34,31.08,Noise,Right
1682579229547,0.922808,0.035136,-0.245464,0.56,-10.15,36.12,Noise,Right
1682579229547,0.926712,-0.019032,-0.24156,11.76,-3.43,37.03,Noise,Right
1682579229548,1.014552,-0.105896,-0.189832,25.41,6.16,30.17,Noise,Right
1682579229548,1.0858,-0.210816,-0.156648,32.41,12.81,17.22,Noise,Right
1682579229649,1.05652,-0.37332,-0.179584,31.5,7.42,2.87,Noise,Right
1682579229649,1.053104,-0.305,-0.179584,29.4,3.15,-14.14,Noise,Right
1682579229649,1.018456,-0.2928,-0.179096,21.56,3.99,-25.69,Noise,Right
1682579229649,0.981368,-0.284504,-0.187392,16.1,5.32,-28.98,Noise,Right
1682579229649,0.952088,-0.256688,-0.20252,2.03,4.97,-32.48,Noise,Right
1682579229649,0.89792,-0.22204,-0.21228,-7.28,5.11,-40.67,Noise,Right
1682579229749,0.88572,-0.162504,-0.2318,-4.34,11.76,-53.76,Noise,Right
1682579229749,0.925736,-0.145912,-0.193248,4.06,23.87,-69.23,Noise,Right
1682579229749,0.959408,-0.113704,-0.152256,5.81,33.67,-79.31,Noise,Right
1682579229749,0.987712,-0.065392,-0.131272,4.97,35.56,-81.62,Noise,Right
1682579229750,1.01504,-0.027328,-0.10736,4.48,33.67,-78.19,Noise,Right
1682579229750,1.040904,-0.006832,-0.091744,0.35,28.77,-71.33,Noise,Right
1682579229855,1.057984,0.031232,-0.081984,-5.67,21.7,-56.84,Noise,Right
1682579229859,1.316136,0.0976,0.037088,-30.31,-22.12,-36.47,Noise,Right
1682579229860,1.057984,0.188368,-0.049288,-19.32,0.77,-23.66,Noise,Right
1682579229860,1.006256,0.175192,-0.175192,1.12,-4.83,-17.08,Noise,Right
1682579229860,1.021872,0.153232,-0.115656,0.63,-1.4,-12.25,Noise,Right
1682579229860,0.97356,0.184464,-0.117608,3.5,-3.36,-5.53,Noise,Right
1682579229860,0.989176,0.15128,-0.101992,6.86,-3.85,2.45,Noise,Right
1682579229959,0.994544,0.092232,-0.088816,9.24,-5.25,8.68,Noise,Right
1682579229959,1.015528,0.015616,-0.081984,9.52,-6.93,10.36,Noise,Right
1682579229959,1.024312,-0.038064,-0.084424,5.95,-8.96,8.47,Noise,Right
