timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1698737079034,-0.460184,-0.668072,-0.52216,12.11,-41.37,-42.07,Noise,Unknown
1698737079034,-0.401624,-0.709552,-0.465552,-11.34,-20.58,-29.26,Noise,Unknown
1698737079082,-0.32452,-0.728096,-0.464576,-19.04,19.04,-10.22,Noise,Unknown
1698737079082,-0.267424,-0.731512,-0.554368,-38.01,51.17,18.41,Noise,Unknown
1698737079082,-0.255224,-0.675392,-0.661728,-52.92,52.29,38.71,Noise,Unknown
1698737079127,-0.259616,-0.616832,-0.629032,-62.51,36.68,47.53,Noise,Unknown
1698737079130,-0.278648,-0.55876,-0.617808,-67.41,25.48,50.19,Noise,Unknown
1698737079130,-0.266936,-0.487512,-0.647576,-61.81,15.61,48.09,Noise,Unknown
1698737079177,-0.266448,-0.371856,-0.729072,-55.37,4.27,34.23,Noise,Unknown
1698737079177,-0.359656,-0.34648,-0.740296,-46.34,-10.15,13.79,Noise,Unknown
1698737079177,-0.38552,-0.364536,-0.735416,-34.09,-17.71,2.66,Stab,Left
1698737079297,-0.389912,-0.383568,-0.705648,-21.77,-10.57,3.71,Stab,Left
1698737079297,-0.4148,-0.385032,-0.729072,-18.13,3.64,5.6,Stab,Left
1698737079297,-0.412848,-0.366,-0.765672,-16.8,10.57,6.44,Stab,Left
1698737079297,-0.404552,-0.36356,-0.775432,-13.79,13.09,7.42,Stab,Left
1698737079297,-0.39772,-0.345504,-0.776408,-8.4,13.65,8.33,Stab,Left
1698737079298,-0.35624,-0.341112,-0.774944,0.07,14.77,7.21,Stab,Left
1698737079298,-0.323056,-0.339648,-0.803248,10.99,10.92,3.29,Stab,Left
1698737079344,-0.302072,-0.308904,-0.842288,36.89,-9.52,-8.82,Stab,Left
1698737079344,-0.30012,-0.310368,-0.833016,58.38,-43.12,-29.19,Stab,Left
1698737079344,-0.395768,-0.376248,-0.73444,72.1,-59.43,-45.08,Stab,Left
1698737079391,-0.202032,-0.402112,-0.699304,117.6,-63.0,-35.56,Stab,Left
1698737079392,-0.277184,-0.52704,-0.681248,46.06,-45.5,-46.55,Stab,Left
1698737079437,-0.339648,-0.752008,-0.550464,38.71,-12.25,-14.98,Stab,Left
1698737079437,-0.350872,-0.825696,-0.652456,32.27,15.68,17.92,Stab,Left
1698737079438,-0.440176,-0.854,-0.618296,9.1,16.8,37.31,Stab,Left
1698737079488,-0.528992,-0.829112,-0.59048,-9.03,3.71,35.0,Stab,Left
1698737079488,-0.473848,-0.831064,-0.540704,-31.15,-7.98,26.88,Stab,Left
1698737079488,-0.413336,-0.81008,-0.507032,-64.12,-6.23,31.5,Stab,Left
1698737079535,-0.368928,-0.737856,-0.578768,-78.19,-1.54,47.6,Stab,Left
1698737079536,-0.406016,-0.6344,-0.63196,-93.24,-3.15,68.6,Stab,Left
1698737079536,-0.443592,-0.413336,-0.723216,-76.44,-20.02,93.03,Stab,Left
1698737079588,-0.150304,-0.328912,-0.664168,-105.14,-19.81,71.33,Stab,Left
1698737079588,-0.191296,-0.262544,-0.793,-103.74,10.64,76.23,Stab,Left
1698737079644,-0.459208,-0.22692,-0.903776,-98.0,5.11,73.78,Stab,Left
1698737079645,-0.41968,-0.022448,-0.940376,-51.66,-19.25,65.03,Stab,Left
1698737079645,-0.50264,0.0122,-0.926224,-21.49,-43.19,36.82,Stab,Left
1698737079645,-0.520696,0.027328,-0.904752,3.29,-64.05,10.43,Stab,Left
1698737079767,-0.404064,0.169336,-0.814472,-5.67,-75.67,-10.36,Stab,Left
1698737079767,-0.601216,-0.206912,-0.582672,10.01,-65.24,-30.17,Stab,Left
1698737079768,-0.43432,-0.0976,-0.670512,31.64,-46.06,13.86,Stab,Left
1698737079768,-0.476776,-0.308904,-0.701256,4.69,-14.7,-2.66,Stab,Left
1698737079768,-0.364536,-0.244976,-0.693448,12.11,34.72,43.26,Stab,Left
1698737079768,-0.513376,-0.196176,-0.764208,-4.13,60.48,69.79,Stab,Left
1698737079769,-0.515816,-0.113216,-0.828624,-11.27,59.36,75.88,Stab,Left
1698737079823,-0.608048,-0.094184,-0.916952,-2.17,40.6,65.31,Stab,Left
1698737079823,-0.752496,-0.038064,-0.933056,12.11,-0.77,25.34,Stab,Left
1698737079823,-0.804224,-0.14884,-0.898408,34.23,-52.01,-29.05,Stab,Left
1698737079823,-0.903776,-0.238144,-0.754448,49.28,-92.4,-78.75,Stab,Left
1698737079871,-0.89304,-0.376736,-0.62708,55.51,-109.55,-124.25,Stab,Left
1698737079871,-0.759328,-0.600728,-0.475312,45.57,-102.34,-139.86,Stab,Left
1698737079871,-0.643184,-0.753472,-0.40016,29.4,-71.12,-117.74,Stab,Left
1698737079915,-0.484096,-0.81496,-0.437248,7.0,-33.95,-85.33,Stab,Left
1698737079915,-0.354776,-0.82472,-0.503128,-8.26,-7.7,-42.0,Stab,Left
1698737079961,-0.271816,-0.732,-0.52948,-19.67,1.89,-7.63,Stab,Left
1698737079961,-0.283528,-0.623664,-0.530456,-38.01,3.99,18.9,Stab,Left
1698737079961,-0.303048,-0.508008,-0.55876,-54.04,3.36,38.22,Stab,Left
1698737080010,-0.328912,-0.45628,-0.566568,-63.7,4.62,58.38,Stab,Left
1698737080010,-0.376736,-0.374784,-0.655384,-72.59,2.03,81.27,Stab,Left
1698737080010,-0.555832,-0.2562,-0.681736,-70.21,-8.96,96.67,Stab,Left
1698737080061,-0.763232,-0.111752,-0.77836,-62.44,-15.47,91.98,Stab,Left
1698737080065,-0.987712,0.002928,-0.816912,-44.59,-14.77,69.23,Stab,Left
1698737080100,-1.10776,0.023912,-0.799344,-24.15,2.73,38.92,Stab,Left
1698737080101,-1.064328,0.03172,-0.838872,-11.06,20.09,-0.49,Stab,Left
1698737080101,-0.844728,-0.067344,-0.830576,3.36,29.33,-31.22,Stab,Left
1698737080145,-0.624152,-0.139568,-0.813008,14.91,30.8,-42.91,Stab,Left
1698737080145,-0.447008,-0.2074,-0.796904,19.46,18.69,-52.92,Stab,Left
1698737080145,-0.237168,-0.27084,-0.777384,20.65,-3.92,-58.87,Stab,Left
1698737080199,-0.09516,-0.356728,-0.74664,11.62,-34.23,-55.65,Stab,Left
1698737080200,-0.149328,-0.410408,-0.597312,4.83,-62.16,-39.55,Stab,Left
1698737080200,-0.242048,-0.460672,-0.467504,-2.17,-72.1,-14.14,Stab,Left
1698737080320,-0.358192,-0.549488,-0.413824,-16.31,-56.0,25.76,Stab,Left
1698737080320,-0.596824,-0.632448,-0.514352,-36.47,-33.04,79.87,Stab,Left
1698737080320,-1.083848,-0.57828,-0.548024,-57.82,-14.63,130.55,Stab,Left
1698737080320,-1.408856,-0.289384,-0.532408,-76.23,17.78,145.74,Stab,Left
1698737080321,-1.352248,0.08052,-0.64904,-65.66,61.04,122.22,Stab,Left
1698737080321,-0.992592,0.254248,-0.88328,-44.66,72.8,63.98,Stab,Left
1698737080321,-0.709064,0.277184,-0.949648,-22.19,37.73,-16.8,Stab,Left
1698737080423,-0.473848,0.138592,-0.841312,0.7,3.01,-52.99,Stab,Left
1698737080424,-0.349408,0.027328,-0.78324,20.16,-16.66,-73.22,Stab,Left
1698737080424,-0.264984,-0.084912,-0.715896,28.35,-34.72,-82.88,Stab,Left
1698737080424,-0.217648,-0.203496,-0.609024,28.7,-47.18,-81.2,Stab,Left
1698737080424,-0.201056,-0.33428,-0.533872,29.26,-48.44,-55.3,Stab,Left
1698737080424,-0.27816,-0.447984,-0.533384,19.81,-37.38,-15.26,Stab,Left
1698737080469,-0.554856,-0.586088,-0.566568,1.75,-27.16,32.62,Stab,Left
1698737080469,-1.00528,-0.652456,-0.608048,-24.92,-16.24,82.25,Stab,Left
1698737080469,-1.338584,-0.472872,-0.419192,-52.71,21.07,121.94,Stab,Left
1698737080517,-1.136552,-0.090768,-0.594872,-71.33,77.91,127.61,Stab,Left
1698737080517,-0.757864,0.18544,-0.882304,-72.1,82.25,106.61,Stab,Left
1698737080518,-0.562176,0.41968,-0.932568,-51.03,38.99,54.6,Stab,Left
1698737080565,-0.496296,0.453352,-0.906216,-16.87,-7.7,-11.13,Stab,Left
1698737080565,-0.406504,0.311344,-0.833504,18.48,-44.87,-64.4,Stab,Left
1698737080611,-0.43432,0.00244,-0.679784,38.01,-67.83,-95.83,Stab,Left
1698737080612,-0.550464,-0.089792,-0.594384,48.72,-70.7,-101.85,Stab,Left
1698737080612,-0.698816,-0.334768,-0.622688,47.32,-63.21,-82.6,Stab,Left
1698737080655,-0.92232,-0.550952,-0.53436,38.5,-39.34,-40.53,Stab,Left
1698737080656,-1.043832,-0.50752,-0.421144,19.6,8.19,5.95,Stab,Left
1698737080656,-0.774456,-0.320616,-0.60024,7.49,50.4,36.82,Stab,Left
1698737080705,-0.532408,-0.191296,-0.660752,4.55,56.07,57.96,Stab,Left
1698737080706,-0.435296,-0.092232,-0.696376,-4.9,42.28,57.61,Stab,Left
1698737080706,-0.403088,-0.05124,-0.724192,-11.62,15.68,46.06,Stab,Left
1698737080749,-0.4514,-0.061488,-0.742736,-8.47,-20.09,26.53,Stab,Left
1698737080749,-0.580232,-0.115656,-0.696864,-10.5,-57.33,-0.35,Stab,Left
1698737080795,-0.833504,-0.139568,-0.698816,-6.44,-74.9,-21.63,Stab,Left
1698737080795,-1.162904,-0.53192,-0.129808,-57.89,-39.2,-41.16,Stab,Left
1698737080795,-1.0492,-0.203984,-0.667096,-21.07,-11.34,-23.17,Stab,Left
1698737080843,-0.793,-0.14884,-0.674416,-14.63,-22.96,-30.87,Stab,Left
1698737080843,-0.573888,-0.124928,-0.638304,-9.52,-23.17,-30.31,Stab,Left
1698737080843,-0.4636,-0.201544,-0.583648,3.71,-10.78,-16.59,Stab,Left
1698737080890,-0.599264,-0.16592,-0.655384,19.67,3.01,1.47,Stab,Left
1698737080890,-0.53192,-0.28548,-0.683688,26.11,5.88,8.05,Stab,Left
1698737080937,-0.484584,-0.503616,-0.543632,37.38,24.5,62.86,Stab,Left
1698737080938,-0.547536,-0.445056,-0.477752,7.21,40.95,113.19,Stab,Left
1698737080938,-0.75396,-0.225944,-0.321104,-44.03,19.88,109.06,Stab,Left
1698737080984,-1.032608,-0.000976,-0.640744,-48.3,34.37,66.5,Stab,Left
1698737080984,-0.801784,-0.111752,-0.564128,-43.89,5.39,36.33,Stab,Left
1698737080984,-0.853512,0.110288,-0.635376,-19.25,13.93,32.48,Stab,Left
1698737081034,-0.973072,0.491904,-0.854488,-13.3,5.6,-11.2,Stab,Left
1698737081034,-0.9516,0.447984,-0.96136,-11.97,-23.66,-87.57,Stab,Left
1698737081034,-0.814472,0.264496,-0.89304,30.03,-50.33,-119.0,Stab,Left
1698737081077,-0.693448,0.101992,-0.779824,51.31,-62.44,-130.55,Stab,Left
1698737081077,-0.57828,0.059536,-0.736392,82.88,-47.6,-82.88,Stab,Left
1698737081077,-0.454328,-0.100528,-0.720776,76.37,-39.9,-83.72,Stab,Left
1698737081125,-0.546072,-0.110776,-0.644648,109.13,-24.64,-67.69,Stab,Left
1698737081126,-0.61976,-0.303048,-0.571936,116.62,-25.48,-71.61,Stab,Left
1698737081172,-0.472384,-0.772992,-0.315736,87.22,-12.11,-39.69,Stab,Left
1698737081173,-0.440664,-0.959896,-0.187392,20.93,21.21,31.57,Stab,Left
1698737081173,-0.56608,-0.83204,-0.247904,-49.77,51.1,98.98,Stab,Left
1698737081225,-0.809592,-0.60268,-0.272792,-93.45,50.19,130.27,Stab,Left
1698737081225,-1.01748,-0.29524,-0.52704,-101.92,46.83,117.32,Stab,Left
1698737081225,-0.876448,-0.23668,-0.59536,-81.9,19.18,40.81,Stab,Left
1698737081345,-0.905728,-0.135176,-0.660752,-45.78,16.94,53.06,Stab,Left
1698737081345,-0.961848,0.144936,-0.729072,-34.58,1.75,28.28,Stab,Left
1698737081345,-0.94428,0.277672,-0.839848,-29.26,-19.32,-23.66,Stab,Left
1698737081345,-0.774944,0.23912,-0.811056,-14.21,-37.24,-58.38,Stab,Left
1698737081345,-0.58316,0.160552,-0.747616,7.21,-42.7,-69.37,Stab,Left
1698737081345,-0.447008,0.069296,-0.688568,37.38,-35.63,-61.53,Stab,Left
1698737081345,-0.38552,0.008784,-0.602192,51.03,-16.38,-41.58,Stab,Left
1698737081389,-0.585112,-0.055632,-0.630496,57.68,-12.25,-51.45,Stab,Left
1698737081389,-0.45628,-0.464576,-0.380152,54.88,-0.98,-31.85,Stab,Left
1698737081389,-0.532408,-0.791536,-0.319152,25.34,28.91,37.73,Stab,Left
1698737081438,-0.748592,-0.731024,-0.348432,-30.17,46.9,95.06,Stab,Left
1698737081438,-0.923296,-0.443592,-0.501664,-53.69,45.36,103.53,Stab,Left
1698737081438,-0.94184,-0.299632,-0.619272,-69.44,25.83,79.31,Stab,Left
1698737081482,-0.76128,-0.370392,-0.56608,-79.94,10.22,49.28,Stab,Left
1698737081482,-0.731024,-0.228384,-0.577792,-61.11,14.28,55.44,Stab,Left
1698737081532,-0.833992,0.05856,-0.586088,-69.02,10.29,52.01,Stab,Left
1698737081532,-0.967704,0.33916,-0.7686,-57.4,0.63,15.96,Stab,Left
1698737081532,-0.843264,0.372832,-0.814472,-24.22,-13.72,-29.54,Stab,Left
1698737081655,-0.692472,0.244,-0.806664,-1.33,-22.26,-47.95,Stab,Left
1698737081655,-0.587064,0.183,-0.7564,28.28,-23.03,-41.3,Stab,Left
1698737081655,-0.567056,0.203496,-0.672464,51.87,-16.94,-32.76,Stab,Left
1698737081655,-0.623176,0.172264,-0.658312,62.58,-15.12,-47.11,Stab,Left
1698737081655,-0.605608,-0.005368,-0.637328,71.05,-18.34,-62.51,Stab,Left
1698737081655,-0.645136,-0.265472,-0.562176,67.13,-19.32,-67.62,Stab,Left
1698737081655,-0.642696,-0.462624,-0.518256,41.23,-19.53,-57.61,Stab,Left
1698737081754,-0.793488,-0.603656,-0.418216,8.54,-12.95,-37.59,Stab,Left
1698737081755,-0.77104,-0.606096,-0.467504,-19.53,-7.0,-14.49,Stab,Left
1698737081755,-0.732488,-0.588528,-0.45872,-26.25,-2.03,5.88,Stab,Left
1698737081755,-0.71736,-0.518256,-0.508008,-40.81,3.15,26.18,Stab,Left
1698737081756,-0.715408,-0.42944,-0.534848,-50.19,7.63,43.4,Stab,Left
1698737081756,-0.752984,-0.317688,-0.586576,-53.69,10.22,58.24,Stab,Left
1698737081804,-0.752496,-0.223992,-0.624152,-45.43,9.59,87.99,Stab,Left
1698737081804,-0.686128,-0.105896,-0.670024,-36.96,9.1,78.61,Stab,Left
1698737081805,-0.635376,-0.035624,-0.642208,-27.93,9.03,84.14,Stab,Left
1698737081853,-0.594384,0.004392,-0.588528,-22.61,13.16,93.52,Stab,Left
1698737081853,-0.48312,0.036112,-0.580232,-29.75,22.12,108.36,Stab,Left
1698737081853,-0.533872,0.225456,-0.547048,-40.04,32.55,118.86,Stab,Left
1698737081896,-0.7198,0.628056,-0.709552,-40.81,34.51,78.26,Stab,Left
1698737081896,-1.02724,0.69296,-0.79056,-18.13,21.77,-9.17,Stab,Left
1698737081897,-0.86376,0.47092,-0.759328,18.13,9.8,-63.56,Stab,Left
1698737081943,-0.991616,0.307928,-0.779336,10.22,-3.57,-107.66,Stab,Left
1698737081943,-1.086288,0.264496,-0.755424,38.99,-49.49,-149.1,Stab,Left
1698737081990,-0.913536,0.0854,-0.7686,76.51,-65.24,-172.62,Stab,Left
1698737081990,-0.760792,-0.157624,-0.603656,94.5,-78.33,-171.92,Stab,Left
1698737081991,-0.60268,-0.259616,-0.565592,88.27,-81.2,-151.06,Stab,Left
1698737082037,-0.453352,-0.303536,-0.477264,97.44,-63.56,-118.37,Stab,Left
1698737082037,-0.358192,-0.3294,-0.478728,153.58,-29.54,-86.8,Stab,Left
1698737082037,-0.359656,-0.420168,-0.340624,212.45,19.18,-57.4,Stab,Left
1698737082084,-0.056608,-0.699304,0.22448,174.3,72.87,10.64,Stab,Left
1698737082084,-0.11712,-0.932568,-0.112728,-17.71,155.82,108.15,Stab,Left
1698737082084,-0.917928,-0.746152,-0.564616,-130.76,158.13,167.51,Stab,Left
1698737082129,-1.828048,-0.417728,-0.801784,-151.62,78.89,140.84,Stab,Left
1698737082130,-1.906616,-0.035136,-0.802272,-94.01,-10.22,61.25,Stab,Left
1698737082181,-1.81292,0.411384,-0.667584,36.26,-65.1,-42.07,Stab,Left
1698737082182,-1.459608,0.410408,-0.42944,61.6,-53.62,-168.07,Stab,Left
1698737082182,-0.957944,0.063928,-0.479216,51.8,13.3,-242.41,Stab,Left
1698737082223,-0.294752,-0.311832,-0.572912,48.51,81.13,-225.12,Stab,Left
1698737082223,0.06832,-0.633424,-0.675392,88.2,136.92,-151.9,Stab,Left
1698737082223,0.150792,-0.601216,-0.708576,106.61,164.15,-52.57,Stab,Left
1698737082268,0.212768,-0.391376,-0.435784,65.8,177.52,15.75,Stab,Left
1698737082268,0.370392,-0.465064,-0.767624,39.27,158.76,65.66,Stab,Left
1698737082313,0.215696,-0.442128,-0.755912,17.64,43.75,112.0,Stab,Left
1698737082313,0.056608,-0.2562,-0.552904,12.32,-43.26,116.76,Stab,Left
1698737082313,-0.231312,-0.083448,-0.58804,16.73,-83.23,97.09,Stab,Left
1698737082361,-0.73932,0.13664,-0.634888,40.18,-96.81,58.17,Stab,Left
1698737082361,-1.145824,0.0366,-0.895968,73.08,-91.77,-17.71,Stab,Left
1698737082361,-1.884168,-0.398208,-1.119472,124.88,-96.04,-91.0,Stab,Left
1698737082407,-2.043256,-0.481656,-0.373808,154.28,-63.0,-186.48,Stab,Left
1698737082407,-0.698328,-0.895968,-0.585112,150.22,26.46,-209.44,Stab,Left
1698737082407,-0.606584,-0.72712,-0.647576,143.43,50.96,-160.86,Stab,Left
1698737082454,-0.465064,-0.429928,-0.65148,209.44,44.45,-186.69,Stab,Left
1698737082455,-0.10736,-0.411872,-0.514352,294.56,35.14,-215.88,Stab,Left
1698737082499,0.094184,-0.529968,-0.452864,297.85,-10.36,-221.55,Stab,Left
1698737082499,0.367952,-0.660264,-0.533384,247.45,-100.59,-198.45,Stab,Left
1698737082499,0.566568,-0.7198,-0.458232,242.06,-194.04,-158.2,Stab,Left
1698737082545,0.165432,-0.552416,0.089304,217.21,-240.87,-89.25,Stab,Left
1698737082545,0.070272,-0.413824,0.637816,208.88,-167.37,-45.36,Stab,Left
1698737082545,0.089792,-0.74664,0.458232,153.3,-36.47,-46.41,Stab,Left
1698737082590,-0.052216,-1.0492,0.125904,136.57,26.53,-18.2,Stab,Left
1698737082590,-0.280112,-1.019432,0.035136,149.73,13.65,19.25,Stab,Left
1698737082637,-0.404552,-0.873032,0.25132,160.72,-17.99,-0.28,Stab,Left
1698737082637,-0.504104,-0.943792,0.364536,170.38,-32.27,-50.96,Stab,Left
1698737082637,-0.389912,-1.016992,0.485072,184.8,-50.19,-102.13,Stab,Left
1698737082682,-0.250344,-1.228296,0.503128,209.3,-91.63,-129.5,Stab,Left
1698737082683,-0.062464,-1.224392,0.579256,240.45,-158.62,-121.73,Stab,Left
1698737082683,0.00976,-1.10532,0.738832,205.94,-224.77,-96.95,Stab,Left
1698737082729,0.024888,-0.969168,0.926712,161.21,-242.9,-59.71,Stab,Left
1698737082729,0.160552,-0.867664,0.923296,124.32,-193.83,-24.08,Stab,Left
1698737082729,0.375272,-0.749568,0.812032,91.14,-111.02,-24.29,Stab,Left
1698737082777,0.403576,-0.748104,0.698328,24.15,-35.98,-34.65,Stab,Left
1698737082777,0.343064,-0.799344,0.569984,16.73,13.93,-24.57,Stab,Left
1698737082824,0.301584,-0.872056,0.464088,30.87,40.74,3.57,Stab,Left
1698737082824,0.218624,-0.8296,0.467992,38.43,45.5,30.59,Stab,Left
1698737082824,0.177144,-0.7198,0.526064,33.67,30.45,31.22,Stab,Left
1698737082870,0.090768,-0.732488,0.540704,17.22,-4.9,20.72,Stab,Left
1698737082870,-0.05856,-0.777384,0.53924,32.97,-56.14,12.95,Stab,Left
1698737082871,-0.032696,-0.821792,0.526064,60.06,-127.12,4.06,Stab,Left
1698737082916,-0.005368,-0.897432,0.800808,38.99,-197.12,0.35,Stab,Left
1698737082917,0.060024,-0.999912,1.026264,45.15,-216.37,3.99,Stab,Left
1698737082917,0.162504,-1.106784,1.05408,69.09,-173.74,11.2,Stab,Left
1698737082966,0.324032,-0.885232,1.109224,45.22,-102.9,14.42,Stab,Left
1698737082967,0.381616,-0.665144,1.124352,30.45,-34.44,-4.83,Stab,Left
1698737082967,0.203984,-0.794952,0.811544,-35.56,17.85,-22.26,Stab,Left
1698737083087,0.232288,-0.708088,0.669048,-2.87,41.51,-21.84,Stab,Left
1698737083087,0.342576,-0.642696,0.52948,26.04,34.02,-24.36,Stab,Left
1698737083087,0.301096,-0.581208,0.473848,7.21,0.07,-24.5,Stab,Left
1698737083087,0.349896,-0.66124,0.421632,11.27,-42.42,-21.77,Stab,Left
1698737083088,0.363072,-0.90768,0.332328,-20.65,-95.27,-2.24,Stab,Left
1698737083088,0.408944,-0.897432,0.541192,-35.49,-142.24,33.39,Stab,Left
1698737083132,0.3904,-0.94916,0.72468,-34.3,-152.74,81.13,Stab,Left
1698737083132,0.509472,-0.894016,0.881816,-9.17,-114.59,106.68,Stab,Left
1698737083132,0.581696,-0.755912,1.138504,-5.6,-26.6,100.8,Stab,Left
1698737083178,0.39284,-0.721752,1.028704,-10.99,86.38,72.73,Stab,Left
1698737083178,0.304024,-0.710528,0.776408,-19.04,163.94,50.82,Stab,Left
1698737083178,0.235216,-0.719312,0.520696,-38.64,175.84,38.85,Stab,Left
1698737083227,0.088816,-0.5978,0.341112,-32.9,131.18,26.6,Stab,Left
1698737083230,-0.025864,-0.759328,0.159088,-36.68,48.65,19.46,Stab,Left
1698737083235,-0.10248,-0.787144,0.20496,-40.74,-52.71,30.52,Stab,Left
1698737083273,-0.083936,-0.867176,0.267912,-9.59,-141.4,52.5,Stab,Left
1698737083273,-0.074176,-0.799832,0.452864,9.8,-196.0,69.51,Stab,Left
1698737083320,0.0976,-0.77104,0.581208,-7.07,-208.11,66.29,Stab,Left
1698737083320,0.100528,-0.79056,0.691496,-24.92,-196.84,41.65,Stab,Left
1698737083320,0.142496,-0.94916,0.744688,-19.74,-155.96,35.35,Stab,Left
1698737083374,0.166408,-0.896944,0.792512,-0.07,-55.79,39.06,Stab,Left
