timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1698743358258,-0.593408,-0.200568,0.680272,54.6,26.39,4.83,Noise,Unknown
1698743358259,-0.450424,-0.191784,0.696864,9.45,14.21,19.88,Noise,Unknown
1698743358259,-0.518256,-0.154696,0.729072,74.69,16.59,44.24,Noise,Unknown
1698743358305,-0.541192,-0.02684,0.80032,110.6,30.87,51.1,Noise,Unknown
1698743358305,-0.613416,0.153232,0.948184,156.24,43.33,30.24,Noise,Unknown
1698743358305,-0.611464,0.293776,1.010648,166.74,36.4,4.13,Noise,Unknown
1698743358352,-0.693936,0.369904,1.017968,178.36,24.78,-17.36,Noise,Unknown
1698743358353,-0.747616,0.414312,1.023336,182.35,27.02,-35.28,Noise,Unknown
1698743358398,-0.762744,0.457744,0.753472,109.55,30.31,-28.28,Noise,Unknown
1698743358398,-0.787144,0.351848,0.550952,121.31,14.63,3.5,Noise,Unknown
1698743358398,-0.654896,0.33184,0.471896,143.5,-4.62,51.8,Stab,Left
1698743358444,-0.640744,0.384544,0.4392,183.05,11.69,75.46,Stab,Left
1698743358444,-0.552416,0.398208,0.432856,248.99,62.23,60.9,Stab,Left
1698743358444,-0.481656,0.335256,0.504592,376.39,122.64,23.1,Stab,Left
1698743358489,-0.564616,0.313296,0.806664,429.87,161.7,-13.86,Stab,Left
1698743358489,-0.6832,0.649528,0.50264,209.86,127.33,-23.8,Stab,Left
1698743358490,-0.654408,0.691984,0.736392,38.78,48.51,-19.74,Stab,Left
1698743358536,-0.689544,0.672952,0.630984,-31.22,1.61,-20.93,Stab,Left
1698743358536,-0.704672,0.667096,0.557784,-4.9,-22.54,-9.03,Stab,Left
1698743358581,-0.689544,0.505568,0.342576,79.94,-24.78,21.77,Stab,Left
1698743358581,-0.601216,0.622688,0.025376,228.13,-2.03,43.47,Stab,Left
1698743358581,-0.51484,0.593896,-0.099552,275.94,55.23,12.74,Stab,Left
1698743358628,-0.56852,0.60024,-0.230336,465.22,157.99,-48.16,Stab,Left
1698743358628,-0.627568,0.420656,0.040992,451.01,207.27,-137.13,Stab,Left
1698743358712,-0.528504,0.557296,0.99796,-521.57,-121.03,-121.24,Stab,Left
1698743358784,-0.401624,0.384544,0.612928,-230.93,-98.77,-103.74,Stab,Left
1698743358785,-0.671,0.378688,0.403088,-11.27,-91.28,-41.72,Stab,Left
1698743358785,-0.845216,0.4636,0.285968,36.19,-79.38,15.75,Stab,Left
1698743358830,-0.054656,0.60268,1.344928,22.33,-109.34,31.5,Stab,Left
1698743358830,-0.72468,0.254248,0.551928,41.79,-93.66,38.71,Stab,Left
1698743358830,-0.752984,0.3538,0.768112,-86.52,-16.24,26.04,Stab,Left
1698743358882,-0.870592,-0.183488,1.2322,-238.49,-35.35,29.4,Stab,Left
1698743358882,-0.694912,-0.29524,0.959408,-248.85,-8.54,13.51,Stab,Left
1698743358882,-0.534848,-0.298656,0.78568,-354.13,-18.97,-18.06,Stab,Left
1698743358992,-0.281576,-0.306952,0.731512,-455.28,-44.31,-78.4,Stab,Left
1698743358993,-0.242048,-0.233752,0.817888,-390.67,-66.5,-141.12,Stab,Left
1698743358993,-0.228872,-0.136152,0.664656,-328.3,-86.8,-174.37,Stab,Left
1698743358993,-0.398208,0.071736,0.691984,-243.95,-116.13,-153.02,Stab,Left
1698743358993,-1.01992,0.988688,1.316624,-172.97,-148.61,-86.87,Stab,Left
1698743358993,-0.526552,0.235704,1.16144,91.84,-143.15,33.88,Stab,Left
1698743358993,-0.328912,0.033184,0.901336,216.23,-122.36,34.72,Stab,Left
1698743359045,-0.418216,-0.455792,0.762744,120.75,-128.45,44.38,Stab,Left
1698743359045,-0.773968,-0.92964,0.970144,-75.88,-142.59,53.27,Stab,Left
1698743359045,-0.504592,-1.086776,1.003816,12.6,-116.83,66.29,Stab,Left
1698743359095,-0.01952,-0.643184,1.276608,29.54,-57.75,84.21,Stab,Left
1698743359095,-0.26108,-0.346968,1.131672,5.32,33.81,44.24,Stab,Left
1698743359095,-0.207888,-0.386008,0.776896,-94.78,95.9,-31.85,Stab,Left
1698743359152,-0.29524,0.145912,0.420168,-318.43,9.45,52.85,Stab,Left
1698743359152,-0.240096,0.304512,1.36152,58.45,-10.64,40.81,Stab,Left
1698743359152,-0.229848,0.454328,1.162904,28.21,12.88,10.92,Stab,Left
1698743359199,-0.452864,0.564616,1.188768,233.31,9.31,-23.87,Stab,Left
1698743359199,0.20252,0.321104,0.855464,159.46,20.65,-51.73,Stab,Left
1698743359199,-1.3664,0.218136,0.882304,126.35,26.88,-30.45,Stab,Left
1698743359245,-0.66612,-0.374296,0.613416,119.63,-11.55,-25.97,Stab,Left
1698743359245,-0.206424,-2.55712,0.94428,-109.13,-47.04,-6.65,Stab,Left
1698743359245,-0.560712,-1.55916,0.822768,-167.72,-48.93,159.39,Stab,Left
1698743359292,-0.272304,-0.88816,1.107272,-69.51,-33.25,160.86,Stab,Left
1698743359292,-0.145912,-0.177632,1.053592,-327.18,4.06,108.15,Stab,Left
1698743359339,-0.203496,0.128832,1.320528,-270.34,49.42,-56.7,Stab,Left
1698743359339,-1.0126,-0.037576,1.124352,-185.99,68.04,-95.97,Stab,Left
1698743359339,0.185928,0.322568,0.633912,-78.96,30.24,4.41,Stab,Left
1698743359386,-0.450912,0.216672,0.940864,199.15,2.31,-2.38,Stab,Left
1698743359386,-0.44164,0.02684,0.74176,264.67,3.64,-30.45,Stab,Left
1698743359386,-0.142496,-0.198616,0.3538,525.84,-20.93,-20.86,Stab,Left
1698743359434,-0.835944,-0.53924,1.016016,-15.26,-23.31,31.15,Stab,Left
1698743359434,-0.508984,-0.913048,1.102392,-148.47,-17.43,-34.51,Stab,Left
1698743359434,-0.44896,-1.35176,0.967216,-59.22,2.73,30.24,Stab,Left
1698743359479,-0.549488,-0.460184,0.885232,-7.98,23.52,138.81,Stab,Left
1698743359480,-0.169336,0.32208,1.09068,20.02,28.84,72.59,Stab,Left
1698743359526,-0.233752,-0.07564,1.19072,2.17,35.7,-20.86,Stab,Left
1698743359526,-0.402112,-0.110776,1.122888,126.49,45.85,-47.04,Stab,Left
1698743359528,-0.495808,0.075152,0.856928,153.86,34.44,-14.14,Stab,Left
1698743359573,-0.496296,0.106872,0.488488,240.31,9.17,-20.09,Stab,Left
1698743359573,-0.406016,-0.111752,0.498736,246.19,-21.28,-12.04,Stab,Left
1698743359573,-0.427488,-0.281088,0.61732,67.2,-42.14,7.77,Stab,Left
1698743359619,-0.617808,-0.13176,0.942816,-98.42,-57.12,40.81,Stab,Left
1698743359619,-0.47092,0.096136,1.164368,-101.15,-41.09,25.76,Stab,Left
1698743359619,-0.405528,-0.328424,1.099464,-88.48,-21.0,18.9,Stab,Left
1698743359665,-0.406504,0.01952,1.10288,-20.79,-2.52,13.86,Stab,Left
1698743359665,-0.18056,-0.047824,0.979904,1.4,-3.08,-27.44,Stab,Left
1698743359715,-0.264496,-0.0244,0.885232,69.37,-26.04,-73.71,Stab,Left
1698743359715,-0.616832,0.064904,0.8906,-6.02,-75.6,-80.22,Stab,Left
1698743359715,-0.480192,-0.018056,0.4148,31.71,-111.65,-52.92,Stab,Left
1698743359810,-0.274744,-0.141032,0.34648,-87.01,-188.72,-13.93,Stab,Left
1698743359811,-0.165432,-0.405528,0.835944,-191.59,-249.41,-10.22,Stab,Left
1698743359811,-0.026352,-0.369416,1.329312,-204.75,-218.12,4.27,Stab,Left
1698743359811,-0.023912,-0.58804,1.723616,-129.5,-113.54,40.32,Stab,Left
1698743359811,-0.687104,-0.491416,1.837808,-22.47,10.99,59.36,Stab,Left
1698743359811,0.232776,-0.498248,1.295152,88.34,80.99,80.85,Stab,Left
1698743359911,-0.007808,-0.29524,1.228296,232.75,102.69,66.85,Stab,Left
