timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1698745998516,0.317688,0.203008,-0.875472,-52.36,34.37,-25.34,Noise,Unknown
1698745998516,0.406504,0.223016,-0.779824,-61.46,38.08,-17.43,Noise,Unknown
1698745998516,0.449448,0.213256,-0.716872,-70.7,59.29,-21.35,Noise,Unknown
1698745998560,0.445544,0.209352,-0.722728,-83.86,92.89,-29.89,Noise,Unknown
1698745998560,0.45872,0.323056,-0.732488,-94.92,116.34,-29.4,Noise,Unknown
1698745998606,0.493856,0.408456,-0.686616,-93.87,123.76,-38.08,Noise,Unknown
1698745998606,0.542656,0.440664,-0.687592,-57.47,98.21,-52.85,Noise,Unknown
1698745998606,0.61976,0.44896,-0.672464,-47.67,51.8,-35.63,Noise,Unknown
1698745998652,0.53192,0.49776,-0.669536,-27.37,14.42,-1.47,Noise,Unknown
1698745998652,0.509472,0.541192,-0.674904,-5.18,-4.13,30.66,Noise,Unknown
1698745998652,0.520696,0.471896,-0.726144,2.38,-18.48,38.5,Noise,Right
1698745998703,0.505568,0.256688,-0.73932,0.35,-23.17,37.8,Noise,Right
1698745998703,0.564616,0.270352,-0.710528,-7.98,-9.66,42.98,Noise,Right
1698745998703,0.61732,0.263032,-0.675392,-10.64,22.19,51.87,Noise,Right
1698745998746,0.640256,0.22692,-0.668072,-19.32,62.51,42.77,Noise,Right
1698745998746,0.6222,0.328424,-0.676856,-28.98,85.33,21.63,Noise,Right
1698745998793,0.647088,0.312808,-0.610488,-37.1,99.26,-7.63,Noise,Right
1698745998794,0.695888,0.33672,-0.568032,-47.25,105.56,-35.14,Noise,Right
1698745998794,0.713456,0.382592,-0.51484,-55.23,102.27,-59.99,Noise,Right
1698745998843,0.691008,0.419192,-0.515328,-52.22,95.41,-73.71,Noise,Right
1698745998843,0.7564,0.427488,-0.499224,-47.74,83.58,-66.08,Noise,Right
1698745998843,0.816912,0.405528,-0.488488,-41.23,62.02,-40.74,Noise,Right
1698745998893,0.781776,0.433344,-0.455304,-34.86,42.42,-7.77,Noise,Right
1698745998893,0.86132,0.49044,-0.386984,-35.07,37.52,14.28,Noise,Right
1698745998893,0.823256,0.57096,-0.36112,-20.65,46.62,20.93,Noise,Right
1698745998995,0.858392,0.514352,-0.378688,-17.29,65.03,7.21,Noise,Right
1698745998995,0.81008,0.530944,-0.426512,-19.04,66.92,-2.03,Noise,Right
1698745998995,0.77104,0.55876,-0.424072,-21.98,58.8,-5.95,Noise,Right
1698745998995,0.822768,0.549976,-0.403088,-16.45,48.86,-5.88,Noise,Right
1698745998995,0.806664,0.519232,-0.400648,-11.76,36.12,-3.85,Noise,Right
1698745998995,0.7808,0.49044,-0.408456,-9.8,17.22,-3.36,Noise,Right
1698745999042,0.745664,0.457744,-0.353312,-7.0,-17.01,3.92,Noise,Right
1698745999042,0.699304,0.436272,-0.306464,2.59,5.88,19.67,Noise,Right
1698745999042,0.92232,0.36356,-0.337208,24.64,-4.69,29.19,Noise,Right
1698745999091,0.795928,0.41968,-0.488,13.72,-7.0,36.96,Noise,Right
1698745999091,0.854,0.353312,-0.477752,17.36,-4.48,69.72,Noise,Right
1698745999135,1.014552,0.474336,-0.554856,14.28,3.92,76.86,Noise,Right
1698745999135,0.89548,0.579256,-0.437736,33.74,15.54,89.88,Noise,Right
1698745999135,0.845704,0.5368,-0.436272,11.41,34.23,71.26,Noise,Right
1698745999182,0.942816,0.40016,-0.41724,-14.35,54.46,29.47,Noise,Right
1698745999183,0.831552,0.347456,-0.496296,-40.81,65.94,2.45,Noise,Right
1698745999183,0.796904,0.344528,-0.33184,-36.12,71.19,-13.93,Noise,Right
1698745999227,0.730048,0.3782,-0.304024,-37.94,72.45,-27.72,Noise,Right
1698745999228,0.734928,0.338672,-0.315248,-52.78,69.09,-36.19,Noise,Right
1698745999228,0.80032,0.396256,-0.213256,-44.03,63.63,-31.36,Noise,Right
1698745999275,0.973072,0.498248,-0.162016,-29.54,56.28,-16.66,Noise,Right
1698745999275,0.956968,0.610488,0.345992,33.67,8.61,-17.5,Noise,Right
1698745999326,0.930128,0.607072,-0.157136,7.0,17.85,4.9,Noise,Right
1698745999326,0.897432,0.614392,-0.182024,0.91,13.65,18.69,Noise,Right
1698745999326,0.849608,0.479216,-0.163968,3.78,11.48,20.3,Noise,Right
1698745999405,0.85644,0.349896,-0.104432,10.64,4.76,18.69,Noise,Right
1698745999405,0.843264,0.33428,-0.131272,9.59,-5.74,14.07,Noise,Right
1698745999405,0.894504,0.317688,-0.123952,25.76,-21.56,2.31,Noise,Right
1698745999405,0.835456,0.337208,-0.00976,32.76,-60.48,-17.99,Noise,Right
1698745999405,0.791048,0.26108,-0.002928,23.24,-79.45,-10.71,Noise,Right
1698745999518,2.02764,0.56852,-0.36844,20.37,-61.04,31.71,Noise,Right
1698745999518,0.808128,0.40016,-0.172264,61.46,-42.0,14.0,Noise,Right
1698745999518,0.87352,0.520696,-0.27816,49.49,-52.57,28.28,Noise,Right
1698745999519,0.8662,0.392352,-0.132248,74.2,-54.04,36.05,Noise,Right
1698745999519,0.880352,0.332328,-0.197152,85.05,-61.32,41.65,Noise,Right
1698745999519,0.819352,0.264984,-0.227408,89.88,-68.46,43.68,Noise,Right
1698745999568,0.729072,0.286456,-0.31476,93.94,-74.69,38.71,Noise,Right
1698745999568,0.769088,0.304024,-0.414312,93.24,-77.77,41.37,Noise,Right
1698745999568,0.62464,0.23424,-0.515328,128.03,-93.31,45.78,Noise,Right
1698745999568,0.679784,0.22448,-0.493368,118.3,-89.67,47.67,Noise,Right
1698745999622,1.311744,0.166896,-0.413824,76.79,-94.64,42.84,Noise,Right
1698745999622,0.099064,0.0976,-0.659776,108.36,-81.06,42.7,Noise,Right
1698745999711,0.969168,0.146888,-0.354288,121.8,-97.86,72.8,Noise,Right
1698745999711,0.863272,-0.166408,-0.523624,59.5,-110.46,102.62,Noise,Right
1698745999711,0.793,0.172264,-0.606584,38.92,-136.01,141.05,Noise,Right
1698745999712,0.499712,0.02928,-0.808616,41.09,-133.84,157.15,Noise,Right
1698745999712,0.399184,0.059536,-0.913536,95.9,-91.0,152.67,Noise,Right
1698745999712,0.556808,-0.108824,-0.90524,102.41,-43.96,121.03,Noise,Right
1698745999755,1.330288,0.264496,-0.436272,-0.63,-95.41,34.79,Noise,Right
1698745999755,0.343064,-0.667584,-0.854976,122.78,-25.41,8.05,Noise,Right
1698745999755,0.508496,-0.107848,-1.238544,-56.07,-6.72,-34.72,Noise,Right
1698745999802,0.746152,-0.225456,-0.795928,-55.02,18.2,-54.88,Noise,Right
1698745999802,0.83936,-0.053192,-0.870104,-96.25,19.88,-115.22,Noise,Right
1698745999849,1.111176,0.041968,-0.732976,-127.26,29.54,-168.98,Noise,Right
1698745999849,0.396256,0.016104,-0.549488,-96.04,14.56,-174.65,Noise,Right
1698745999849,0.915976,0.224968,-0.415288,-86.8,21.77,-189.42,Noise,Right
1698745999898,0.809592,0.20984,-0.388936,-40.53,19.18,-149.17,Noise,Right
1698745999899,0.745176,0.777384,-0.724192,-97.72,-32.41,-60.55,Noise,Right
1698745999899,0.677344,-0.076128,-0.259128,51.87,-18.83,26.46,Noise,Right
1698745999946,1.351272,-0.823256,-0.43676,216.44,-87.43,95.97,Noise,Right
1698745999946,0.216672,-0.055632,-0.16348,179.27,-131.88,158.41,Noise,Right
1698745999947,0.452864,0.17568,-0.85156,120.61,-106.05,298.41,Noise,Right
1698745999995,0.56608,-0.550464,-0.045384,154.98,-77.63,340.06,Noise,Right
1698745999995,0.616344,0.008296,-0.782264,44.45,-84.14,284.76,Noise,Right
1698746000037,0.942816,0.022448,-0.928176,107.94,-47.6,169.82,Noise,Right
1698746000038,0.757864,-0.211304,-1.011624,91.42,-21.49,67.06,Noise,Right
1698746000038,0.601704,-0.344528,-1.029192,50.26,-13.86,-27.58,Noise,Right
1698746000086,0.272792,-0.574376,-1.357128,17.85,10.43,-108.64,Noise,Right
1698746000086,0.651968,-0.451888,-0.969656,-45.22,16.87,-155.12,Noise,Right
1698746000086,0.459208,-0.237656,-0.725656,-96.6,18.27,-197.82,Noise,Right
1698746000133,0.399184,-0.122488,-0.788608,-120.75,19.95,-163.24,Noise,Right
1698746000133,0.29768,-0.050264,-0.598776,-93.52,-4.06,-155.89,Noise,Right
1698746000133,0.482144,0.066856,-0.658312,-81.27,-17.64,-129.99,Noise,Right
1698746000228,0.626104,0.159576,-0.516792,-38.5,-38.64,-99.82,Noise,Right
1698746000228,0.734928,-0.013664,-0.626592,23.1,-54.74,-41.51,Noise,Right
1698746000228,0.747128,-0.098576,-0.71492,26.18,-60.97,11.83,Noise,Right
1698746000228,0.710528,-0.22204,-0.652944,62.65,-52.99,135.31,Noise,Right
1698746000228,0.398696,-0.3172,-0.569984,112.14,-32.76,315.77,Noise,Right
1698746000325,-0.211792,-0.127856,-1.070184,171.29,-14.07,416.57,Noise,Right
1698746000325,0.589016,-0.144448,-0.908656,140.56,8.26,349.65,Noise,Right
1698746000325,0.681736,-0.125904,-0.940864,234.99,18.9,159.18,Noise,Right
1698746000326,0.94428,-0.584624,-1.121424,85.61,31.5,3.08,Noise,Right
1698746000326,0.532408,-0.638792,-1.037,14.49,50.47,-93.52,Noise,Right
1698746000326,0.572912,-0.504592,-1.072136,-53.76,53.41,-203.56,Noise,Right
1698746000378,0.785192,-0.59292,-1.046272,-118.51,56.98,-289.66,Noise,Right
1698746000379,0.7198,-0.451888,-0.89548,-113.05,9.31,-279.86,Noise,Right
1698746000379,0.647576,-0.271328,-0.691984,-92.05,-62.23,-223.44,Noise,Right
1698746000425,0.56608,-0.194224,-0.645136,-52.57,-112.42,-135.24,Noise,Right
1698746000425,0.689056,-0.255224,-0.620248,-39.83,-129.36,-25.62,Noise,Right
