timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1707129462634,-0.397232,-0.610488,-0.6588,-3.22,-6.72,-7.35,Noise,Unknown
1707129462635,-0.39284,-0.605608,-0.66368,-6.58,-8.54,-5.25,Noise,Unknown
1707129462635,-0.374296,-0.620736,-0.650992,-6.65,-11.62,-3.71,Noise,Unknown
1707129462635,-0.395768,-0.609024,-0.639768,-4.97,-14.0,-4.62,Noise,Unknown
1707129462635,-0.417728,-0.609024,-0.618784,-2.1,-11.9,-1.89,Noise,Unknown
1707129462635,-0.439688,-0.567056,-0.614392,-2.59,-7.35,1.12,Noise,Unknown
1707129462678,-0.471896,-0.528016,-0.62952,-4.34,-2.45,1.05,Noise,Unknown
1707129462679,-0.493368,-0.501176,-0.67588,-6.72,-0.42,-3.36,Noise,Unknown
1707129462679,-0.491904,-0.50508,-0.728584,-13.44,-0.77,-11.13,Noise,Unknown
1707129462724,-0.478728,-0.542168,-0.745176,-14.0,-6.44,-19.25,Noise,Unknown
1707129462724,-0.450424,-0.598288,-0.757864,-11.69,-14.84,-25.27,Noise,Right
1707129462724,-0.449936,-0.625128,-0.760792,-11.41,-20.72,-22.61,Noise,Right
1707129462772,-0.4514,-0.628544,-0.77348,-14.14,-21.21,-15.05,Noise,Right
1707129462772,-0.434808,-0.630008,-0.76372,-15.96,-21.84,-9.17,Noise,Right
1707129462772,-0.404064,-0.642208,-0.730536,-15.82,-25.76,-7.42,Noise,Right
1707129462824,-0.364048,-0.642208,-0.716872,-19.18,-33.11,-5.81,Noise,Right
1707129462825,-0.366,-0.64416,-0.724192,-18.76,-36.47,-0.07,Noise,Right
1707129462938,-0.369416,-0.58804,-0.706136,-11.48,-29.75,7.14,Noise,Right
1707129462938,-0.374296,-0.555832,-0.670024,-3.99,-18.9,8.12,Noise,Right
1707129462938,-0.350384,-0.525088,-0.675392,-1.26,-13.51,0.91,Noise,Right
1707129462938,-0.366488,-0.49044,-0.663192,6.37,-11.06,-4.48,Noise,Right
1707129462938,-0.362096,-0.521672,-0.645136,7.35,-10.85,-12.25,Noise,Right
1707129462938,-0.357704,-0.5368,-0.620736,2.45,-17.5,-12.46,Noise,Right
1707129462939,-0.333792,-0.586576,-0.579256,1.47,-23.94,-13.51,Noise,Right
1707129462987,-0.374296,-0.585112,-0.559248,0.91,-21.49,-12.32,Noise,Right
1707129462987,-0.389424,-0.576816,-0.550464,3.29,-8.12,-6.3,Noise,Right
1707129462988,-0.367464,-0.584624,-0.559736,0.56,7.21,-4.13,Noise,Right
1707129463036,-0.393816,-0.568032,-0.61244,-1.54,17.08,-3.99,Noise,Right
1707129463036,-0.374784,-0.596336,-0.62708,-2.94,14.0,-2.17,Noise,Right
1707129463037,-0.40504,-0.59048,-0.638304,-1.4,7.7,1.54,Noise,Right
1707129463079,-0.452864,-0.53924,-0.660264,-2.87,7.49,8.05,Noise,Right
1707129463080,-0.454816,-0.505568,-0.687104,-5.11,12.95,9.8,Noise,Right
1707129463126,-0.449936,-0.496296,-0.696376,-7.91,16.1,2.59,Noise,Right
1707129463127,-0.430416,-0.521672,-0.708088,-5.32,12.81,-4.83,Noise,Right
1707129463127,-0.416264,-0.549488,-0.720776,-4.2,8.54,-9.03,Noise,Right
1707129463172,-0.441152,-0.549976,-0.721264,-2.45,9.31,-7.21,Noise,Right
1707129463173,-0.43432,-0.552904,-0.733952,-4.13,13.02,-5.81,Noise,Right
1707129463173,-0.426024,-0.56364,-0.729072,-3.08,13.16,-8.26,Noise,Right
1707129463218,-0.41236,-0.582672,-0.717848,-2.73,8.75,-8.05,Noise,Right
1707129463219,-0.41968,-0.58072,-0.714432,0.84,7.42,-1.68,Noise,Right
1707129463265,-0.422608,-0.566568,-0.711016,-6.58,10.85,7.14,Noise,Right
1707129463265,-0.426024,-0.538264,-0.720288,-10.22,14.7,10.71,Noise,Right
1707129463265,-0.42456,-0.518744,-0.753472,-3.22,15.33,5.95,Noise,Right
1707129463313,-0.39772,-0.505568,-0.76616,1.4,12.81,-2.17,Noise,Right
1707129463313,-0.429928,-0.497272,-0.772992,2.17,11.13,-7.35,Noise,Right
1707129463314,-0.406992,-0.521184,-0.803248,-1.68,7.28,-12.04,Noise,Right
1707129463360,-0.398696,-0.53436,-0.788608,0.84,0.28,-13.79,Noise,Right
1707129463360,-0.382592,-0.548024,-0.772992,3.08,-6.58,-13.51,Noise,Right
1707129463360,-0.376736,-0.547536,-0.698816,1.96,-10.36,-10.99,Noise,Right
1707129463407,-0.382104,-0.508984,-0.630496,-7.0,3.22,-14.7,Noise,Right
1707129463408,-0.348432,-0.593896,-0.742248,4.55,8.75,-13.23,Noise,Right
1707129463408,-0.345992,-0.597312,-0.779336,1.54,-3.71,-3.15,Noise,Right
1707129463462,-0.352824,-0.57828,-0.754448,-8.4,-14.49,2.17,Noise,Right
1707129463463,-0.35868,-0.495808,-0.680272,-2.17,-13.51,-5.32,Noise,Right
1707129463498,-0.342576,-0.536312,-0.64172,5.39,-1.89,-19.32,Noise,Right
1707129463499,-0.332816,-0.5612,-0.637328,9.66,9.8,-22.19,Noise,Right
1707129463499,-0.335744,-0.608048,-0.647088,5.04,17.36,-17.08,Noise,Right
1707129463545,-0.325008,-0.659288,-0.68076,3.01,19.67,-9.94,Noise,Right
1707129463545,-0.30988,-0.564128,-0.707112,7.84,17.43,-1.96,Noise,Right
1707129463545,-0.358192,-0.51972,-1.0736,23.52,-9.1,0.63,Noise,Right
1707129463590,-0.393328,-0.505568,-0.801296,6.72,-52.08,-8.05,Noise,Right
1707129463590,-0.428464,-0.594384,-0.766648,2.8,-31.85,-14.07,Noise,Right
1707129463637,-0.38796,-0.68076,-0.772992,-5.74,-21.91,-8.61,Noise,Right
1707129463638,-0.382104,-0.786168,-0.771528,-13.86,-21.91,13.37,Noise,Right
1707129463638,-0.38308,-0.66124,-0.743712,-21.07,-23.45,34.86,Noise,Right
1707129463684,-0.3782,-0.473848,-0.756888,-12.81,-26.81,22.33,Noise,Right
1707129463684,-0.449448,-0.51728,-0.757864,2.31,-31.36,-1.47,Noise,Right
1707129463684,-0.48312,-0.511912,-0.761768,18.62,-29.96,-6.58,Noise,Right
1707129463730,-0.487024,-0.473848,-0.738832,27.72,-22.75,-19.25,Noise,Right
1707129463731,-0.528016,-0.388936,-0.72956,40.81,-12.88,-35.98,Noise,Right
1707129463731,-0.532896,-0.424072,-0.747128,46.34,-9.8,-41.51,Noise,Right
1707129463776,-0.558272,-0.44164,-0.805688,66.01,1.12,-35.84,Noise,Right
1707129463776,-0.540704,-0.667096,-0.796416,57.47,16.59,-27.93,Noise,Right
1707129463899,-0.711016,-0.808128,-0.96868,-46.97,3.71,-35.63,Noise,Right
1707129463900,-0.33916,-0.670024,-0.748104,-153.65,10.43,-16.1,Noise,Right
1707129463900,-0.211792,-0.638304,-0.687592,-193.27,20.86,-6.16,Noise,Right
1707129463900,-0.198128,-0.428464,-0.596336,-162.33,7.21,-27.02,Noise,Right
1707129463900,-0.210328,-0.417728,-0.652456,-8.89,-15.89,-56.49,Noise,Right
1707129463900,-0.33428,-0.421632,-0.723216,67.13,-15.89,-71.75,Noise,Right
1707129463900,-0.45628,-0.423096,-0.730536,95.55,-17.64,-70.98,Noise,Right
1707129463946,-0.477752,-0.553392,-0.752496,75.39,-25.48,-59.57,Noise,Right
1707129463946,-0.513864,-0.796904,-0.677832,-3.43,-30.73,-48.58,Noise,Right
1707129463947,-0.409432,-0.927688,-0.59048,-131.6,-24.08,-59.29,Noise,Right
1707129463997,-0.311344,-0.926712,-0.577304,-186.97,-11.13,-119.91,Noise,Right
1707129464002,-0.406992,-0.78568,-0.724192,-56.0,-13.79,-179.2,Noise,Right
1707129464002,-0.305488,-0.615856,-0.896456,125.3,-7.84,-219.66,Noise,Right
1707129464041,-0.416752,-0.626592,-0.913048,259.84,8.68,-226.94,Noise,Right
1707129464041,-0.377224,-0.633424,-0.759816,269.15,19.6,-221.69,Noise,Right
1707129464041,-0.32696,-0.676856,-0.5368,233.1,19.32,-218.54,Noise,Right
1707129464086,-0.232776,-0.772504,-0.445544,192.36,12.46,-210.98,Noise,Right
1707129464087,-0.362096,-1.098976,-0.538752,122.15,13.58,-209.79,Noise,Right
1707129464087,-0.189832,-0.890112,-0.659776,-137.83,37.38,-215.81,Noise,Right
1707129464133,-0.080032,-0.7564,-0.655384,-117.39,59.64,-226.31,Noise,Right
1707129464133,0.036112,-0.796416,-0.723216,80.99,68.53,-234.36,Noise,Right
1707129464179,0.098576,-0.859368,-0.663192,153.23,64.4,-223.65,Noise,Right
1707129464180,0.052216,-0.83936,-0.581208,75.81,57.47,-219.1,Noise,Right
1707129464180,0.068808,-0.789096,-0.532408,-89.39,52.99,-216.51,Noise,Right
1707129464227,0.038064,-0.79544,-0.341112,-319.2,60.34,-211.75,Noise,Right
