timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1708334371893,0.713456,0.510448,-0.157136,-67.41,55.09,-99.26,Noise,Unknown
1708334371894,0.684176,0.523624,-0.16592,-74.34,60.55,-91.77,Noise,Unknown
1708334372000,0.654896,0.569008,-0.155184,-79.45,64.47,-76.65,Noise,Unknown
1708334372000,0.616344,0.594384,-0.127368,-69.16,62.23,-59.99,Noise,Unknown
1708334372001,0.627568,0.604144,-0.081984,-62.16,56.0,-41.3,Noise,Unknown
1708334372001,0.712968,0.62464,-0.020984,-43.33,46.34,-20.58,Noise,Unknown
1708334372004,0.799344,0.659288,0.008296,-22.82,34.93,4.27,Noise,Unknown
1708334372004,0.946232,0.672952,0.019032,-3.57,15.61,26.39,Noise,Unknown
1708334372005,0.568032,0.722728,-0.272304,-83.02,-80.64,-8.33,Noise,Unknown
1708334372045,0.790072,0.739808,0.025864,19.95,-52.01,18.62,Noise,Unknown
1708334372045,0.779824,0.724192,-0.005368,16.38,-49.91,38.85,Noise,Right
1708334372047,0.726144,0.681736,0.045872,2.45,-63.7,-4.13,Noise,Right
1708334372092,0.808616,0.857416,0.050752,37.8,-41.02,-7.21,Noise,Right
1708334372092,0.789584,0.776896,-0.012688,62.51,-37.1,8.96,Noise,Right
1708334372138,0.773968,0.75884,-0.04636,82.32,-45.99,22.68,Noise,Right
1708334372138,0.754936,0.679784,-0.088816,97.44,-55.65,34.02,Noise,Right
1708334372138,0.762744,0.609024,-0.144448,107.38,-64.12,41.86,Noise,Right
1708334372185,0.784216,0.555344,-0.186416,123.55,-69.51,52.64,Noise,Right
1708334372185,0.801784,0.45628,-0.257176,135.8,-72.8,60.34,Noise,Right
1708334372185,0.800808,0.460672,-0.269376,133.21,-76.86,66.99,Noise,Right
1708334372233,0.80276,0.391864,-0.33184,125.37,-81.27,75.25,Noise,Right
1708334372234,0.823744,0.371368,-0.433344,120.54,-80.71,82.46,Noise,Right
1708334372288,0.732976,0.320128,-0.489464,127.54,-75.67,91.42,Noise,Right
1708334372288,0.717848,0.286456,-0.559248,134.19,-69.37,88.06,Noise,Right
1708334372288,0.71736,0.166896,-0.555344,150.15,-60.27,77.42,Noise,Right
1708334372408,0.747128,0.105408,-0.57828,126.07,-58.94,64.19,Noise,Right
1708334372408,0.770552,0.10004,-0.589016,88.55,-60.41,56.98,Noise,Right
1708334372409,0.794952,0.113704,-0.605608,69.93,-59.92,57.12,Noise,Right
1708334372409,0.721264,0.130296,-0.533384,64.19,-63.77,64.33,Noise,Right
1708334372409,0.6832,0.190808,-0.477752,99.82,-67.34,81.13,Noise,Right
1708334372409,0.747128,0.133712,-0.57584,109.27,-70.49,96.81,Noise,Right
1708334372409,0.743224,0.084912,-0.587064,104.02,-66.78,107.52,Noise,Right
1708334372471,0.81252,-0.003904,-0.672464,88.2,-60.83,112.63,Noise,Right
1708334372471,0.6344,-0.035624,-0.593408,109.76,-57.61,113.12,Noise,Right
1708334372471,0.74908,-0.137128,-0.656848,115.36,-59.08,112.0,Noise,Right
1708334372471,0.707112,-0.146888,-0.752496,101.99,-54.88,103.18,Noise,Right
1708334372597,0.694912,-0.120536,-0.682224,93.87,-53.48,100.24,Noise,Right
1708334372598,0.392352,-0.356728,-1.803648,-2.31,-95.48,111.58,Noise,Right
1708334372598,0.932568,-0.331352,-0.582672,30.73,-2.66,50.12,Noise,Right
1708334372598,0.643184,-0.255712,-0.747616,35.14,-9.52,58.73,Noise,Right
1708334372598,0.629032,-0.36112,-0.552416,45.36,-10.92,51.59,Noise,Right
1708334372598,0.630496,-0.351848,-0.749568,48.3,-5.53,49.56,Noise,Right
1708334372598,0.581696,-0.44164,-0.74664,61.6,-0.56,46.9,Noise,Right
1708334372720,0.67344,-0.374296,-0.712968,39.41,8.19,37.52,Noise,Right
1708334372721,0.62464,-0.345016,-0.699792,15.54,8.47,37.45,Noise,Right
1708334372721,0.650016,-0.345504,-0.59292,7.14,8.82,35.21,Noise,Right
1708334372721,0.728584,-0.274256,-0.692472,2.94,3.57,35.49,Noise,Right
1708334372721,0.757376,-0.259616,-0.56364,19.18,-8.82,41.3,Noise,Right
1708334372721,0.716872,-0.388448,-0.789584,6.79,-13.37,43.96,Noise,Right
1708334372721,0.7564,-0.447008,-0.667584,8.33,-13.23,36.54,Noise,Right
1708334372721,0.816912,-0.537776,-0.618784,50.54,0.98,15.75,Noise,Right
1708334372823,0.813984,-0.511912,-0.613416,24.5,5.11,-8.4,Noise,Right
1708334372824,0.767136,-0.543144,-0.57828,8.75,3.01,-30.24,Noise,Right
1708334372824,0.611952,-0.504104,-0.6222,-34.23,-3.64,-47.46,Noise,Right
1708334372824,0.610488,-0.466528,-0.58072,-64.12,-10.85,-51.52,Noise,Right
1708334372824,0.71736,-0.285968,-0.593408,-81.2,-12.11,-42.14,Noise,Right
1708334372825,0.777872,-0.206912,-0.593896,-70.35,-11.41,-25.06,Noise,Right
1708334372878,0.82716,-0.242536,-0.61732,-30.66,-14.91,-15.12,Noise,Right
1708334372878,0.831552,-0.279136,-0.612928,-11.41,-24.92,-12.11,Noise,Right
1708334372879,0.751032,-0.269376,-0.628056,-3.29,-46.34,-5.04,Noise,Right
1708334373002,0.646112,-0.301096,-0.697352,-8.33,-75.6,5.74,Noise,Right
1708334373003,0.600728,-0.32696,-0.787632,-12.88,-104.16,14.56,Noise,Right
1708334373003,0.503128,-0.318664,-0.808616,-34.51,-115.57,12.32,Noise,Right
1708334373003,0.445056,-0.320128,-0.804712,-40.25,-104.16,0.0,Noise,Right
1708334373003,0.452376,-0.263032,-0.840336,-33.39,-75.95,-13.72,Noise,Right
1708334373003,0.498736,-0.260592,-0.808616,-38.99,-40.88,-19.95,Noise,Right
1708334373003,0.523136,-0.191784,-0.793976,-40.88,-14.63,-19.11,Noise,Right
1708334373061,0.533872,-0.08052,-0.716872,-28.7,-2.38,-7.77,Noise,Right
1708334373061,0.503616,-0.00732,-0.715896,16.17,-10.01,9.66,Noise,Right
1708334373061,0.47092,-0.07564,-0.694912,58.87,-26.67,22.4,Noise,Right
1708334373062,0.449448,-0.149816,-0.708576,62.23,-46.2,29.68,Noise,Right
1708334373186,0.445544,-0.227896,-0.748104,54.95,-59.57,34.09,Noise,Right
1708334373186,0.443592,-0.284016,-0.75152,44.31,-63.07,38.15,Noise,Right
1708334373186,0.429928,-0.305488,-0.708576,43.19,-60.06,43.82,Noise,Right
1708334373186,0.426024,-0.288896,-0.740784,50.26,-55.23,52.08,Noise,Right
1708334373186,0.42944,-0.194712,-0.833992,53.48,-47.67,66.08,Noise,Right
1708334373187,0.356728,-0.320128,-0.817888,50.82,-44.66,81.2,Noise,Right
1708334373187,0.34892,-0.381128,-0.847168,69.79,-52.85,91.49,Noise,Right
1708334373323,0.333792,-0.472872,-0.830088,52.92,-68.6,95.2,Noise,Right
1708334373323,0.352824,-0.516304,-0.859368,23.38,-79.8,94.15,Noise,Right
1708334373323,0.371368,-0.559248,-0.867176,6.37,-79.8,88.9,Noise,Right
1708334373323,0.345016,-0.571448,-0.863272,-1.26,-70.7,81.06,Noise,Right
1708334373323,0.30988,-0.579256,-0.895968,3.85,-55.23,75.32,Noise,Right
1708334373324,0.26596,-0.532408,-0.91744,13.16,-36.54,73.57,Noise,Right
1708334373324,0.214232,-0.479216,-0.962824,36.47,-22.19,78.54,Noise,Right
1708334373324,0.15616,-0.599752,-0.970632,21.56,-12.53,80.99,Noise,Right
1708334373373,0.137616,-0.571448,-0.97356,13.09,-8.33,78.89,Noise,Right
