timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1720412619753,0.105896,-0.403576,-0.88816,3.01,-4.27,-2.66,Noise,Unknown
1720412619754,0.103456,-0.408456,-0.892064,2.94,-4.34,-2.66,Noise,Unknown
1720412619754,0.108824,-0.405528,-0.886696,3.01,-4.62,-2.59,Noise,Unknown
1720412619800,0.10492,-0.406992,-0.894016,2.8,-4.48,-2.52,Noise,Unknown
1720412619800,0.101992,-0.406992,-0.891088,3.01,-4.48,-2.66,Noise,Unknown
1720412619800,0.10004,-0.411384,-0.894992,3.08,-4.62,-2.59,Noise,Unknown
1720412619930,0.100528,-0.408456,-0.891088,2.87,-4.41,-2.59,Noise,Unknown
1720412619930,0.105408,-0.406504,-0.8906,2.87,-4.27,-2.59,Noise,Unknown
1720412619930,0.10492,-0.40504,-0.894504,2.8,-4.34,-2.52,Noise,Unknown
1720412619930,0.105896,-0.41236,-0.891576,3.01,-4.62,-2.59,Noise,Unknown
1720412619931,0.103456,-0.408456,-0.894504,2.87,-4.76,-2.66,Noise,Unknown
1720412619931,0.10248,-0.406504,-0.889624,3.15,-4.41,-2.59,Noise,Unknown
1720412619931,0.105896,-0.40992,-0.896944,2.94,-4.41,-2.8,Noise,Unknown
1720412619981,0.101504,-0.411872,-0.896944,2.8,-4.41,-2.59,Noise,Unknown
1720412619981,0.0976,-0.4148,-0.895968,2.73,-4.48,-2.52,Noise,Unknown
1720412619981,0.101504,-0.409432,-0.894992,2.87,-4.48,-2.66,Noise,Unknown
1720412620027,0.10004,-0.413336,-0.897432,2.94,-4.41,-2.52,Noise,Unknown
1720412620028,0.099552,-0.409432,-0.90036,2.94,-4.34,-2.66,Noise,Unknown
1720412620029,0.102968,-0.408944,-0.898408,2.87,-4.48,-2.73,Noise,Unknown
1720412620075,0.10004,-0.41236,-0.896456,3.01,-4.27,-2.38,Noise,Unknown
1720412620075,0.100528,-0.410408,-0.898408,2.8,-4.41,-2.52,Noise,Unknown
1720412620075,0.10248,-0.408944,-0.9028,2.94,-4.27,-2.52,Noise,Unknown
1720412620122,0.10248,-0.40992,-0.9028,2.94,-4.2,-2.66,Noise,Unknown
1720412620122,0.096136,-0.411384,-0.905728,3.01,-4.55,-2.59,Noise,Unknown
1720412620122,0.105408,-0.406016,-0.90768,3.15,-4.2,-2.73,Noise,Unknown
1720412620168,0.102968,-0.41236,-0.897432,2.94,-4.55,-2.52,Noise,Unknown
1720412620169,0.103944,-0.407968,-0.9028,2.87,-4.48,-2.73,Noise,Unknown
1720412620169,0.098576,-0.417728,-0.901336,3.08,-4.48,-2.66,Noise,Unknown
1720412620217,0.094672,-0.410408,-0.88328,2.73,-4.41,-2.66,Noise,Unknown
1720412620218,0.098088,-0.4026,-0.904752,3.01,-4.48,-2.87,Noise,Unknown
1720412620262,0.105408,-0.413336,-0.903288,3.08,-4.34,-2.66,Noise,Unknown
1720412620263,0.103944,-0.40992,-0.892552,2.94,-4.76,-2.59,Noise,Unknown
1720412620263,0.0976,-0.397232,-0.884744,2.94,-4.41,-2.59,Noise,Unknown
1720412620309,0.101016,-0.409432,-0.890112,2.94,-3.92,-2.52,Noise,Unknown
1720412620309,0.0976,-0.411384,-0.894504,2.8,-4.13,-2.59,Noise,Unknown
1720412620309,0.102968,-0.404064,-0.88816,3.01,-4.76,-2.87,Noise,Unknown
1720412620355,0.106872,-0.41236,-0.892552,2.94,-4.41,-2.66,Noise,Unknown
1720412620355,0.103456,-0.40992,-0.891576,2.8,-4.41,-2.59,Noise,Unknown
1720412620401,0.101992,-0.40748,-0.884256,2.66,-4.48,-2.73,Noise,Unknown
1720412620401,0.102968,-0.410896,-0.884744,2.94,-4.27,-2.66,Noise,Unknown
1720412620401,0.101992,-0.406016,-0.891576,2.94,-4.2,-2.52,Noise,Unknown
1720412620448,0.099552,-0.406016,-0.889624,2.8,-4.2,-2.52,Noise,Unknown
1720412620448,0.10248,-0.408944,-0.891576,2.73,-4.34,-2.66,Noise,Unknown
1720412620448,0.104432,-0.410408,-0.889624,2.87,-4.62,-2.45,Noise,Unknown
1720412620494,0.10248,-0.408456,-0.887184,2.87,-4.41,-2.66,Noise,Unknown
1720412620494,0.105896,-0.408456,-0.892064,2.87,-4.48,-2.52,Noise,Unknown
1720412620494,0.10248,-0.408944,-0.885232,2.87,-4.41,-2.59,Noise,Unknown
1720412620551,0.099064,-0.411384,-0.888648,2.87,-4.48,-2.73,Noise,Unknown
1720412620554,0.096136,-0.409432,-0.884744,2.8,-4.48,-2.73,Noise,Unknown
1720412620554,0.103456,-0.417728,-0.899384,2.8,-4.2,-2.52,Noise,Unknown
1720412620587,0.103456,-0.404064,-0.891088,2.87,-4.48,-2.66,Noise,Unknown
1720412620587,0.103456,-0.408456,-0.892552,3.15,-4.55,-2.59,Noise,Unknown
1720412620634,0.100528,-0.410408,-0.889136,3.15,-4.48,-2.59,Noise,Unknown
1720412620634,0.101016,-0.406016,-0.892552,2.94,-4.55,-2.73,Noise,Unknown
1720412620634,0.105408,-0.408456,-0.885232,2.87,-4.41,-2.52,Noise,Unknown
1720412620680,0.104432,-0.40748,-0.89548,2.94,-4.13,-2.45,Noise,Unknown
1720412620681,0.102968,-0.40504,-0.896456,2.94,-4.41,-2.66,Noise,Unknown
1720412620681,0.10004,-0.411384,-0.883768,3.01,-4.48,-2.59,Noise,Unknown
1720412620726,0.10248,-0.408944,-0.887672,2.73,-4.48,-2.8,Noise,Unknown
1720412620727,0.103944,-0.4026,-0.894504,2.94,-4.27,-2.66,Noise,Unknown
1720412620774,0.103944,-0.40504,-0.8906,2.87,-4.34,-2.66,Noise,Unknown
1720412620774,0.10248,-0.411384,-0.891088,2.87,-4.55,-2.59,Noise,Unknown
1720412620775,0.098576,-0.412848,-0.898896,2.94,-4.41,-2.66,Noise,Unknown
1720412620821,0.100528,-0.409432,-0.886696,2.94,-4.27,-2.52,Noise,Unknown
1720412620821,0.105896,-0.40504,-0.888648,2.94,-4.48,-2.73,Noise,Unknown
1720412620822,0.10004,-0.406992,-0.892552,2.94,-4.13,-2.66,Noise,Unknown
1720412620871,0.103456,-0.410408,-0.887184,3.08,-4.62,-2.45,Noise,Unknown
1720412620871,0.102968,-0.408944,-0.886208,2.87,-4.41,-2.73,Noise,Unknown
1720412620871,0.10492,-0.407968,-0.894504,2.87,-4.34,-2.66,Noise,Unknown
1720412620915,0.102968,-0.404064,-0.885232,3.01,-4.34,-2.73,Noise,Unknown
1720412620915,0.102968,-0.408944,-0.892552,2.87,-4.55,-2.66,Noise,Unknown
1720412620915,0.103944,-0.410896,-0.894992,3.01,-4.48,-2.87,Noise,Unknown
1720412620961,0.104432,-0.408944,-0.889136,2.87,-4.62,-2.66,Noise,Unknown
1720412620962,0.103456,-0.41236,-0.89304,2.8,-4.34,-2.73,Noise,Unknown
1720412621007,0.104432,-0.408944,-0.898408,2.87,-4.48,-2.66,Noise,Unknown
1720412621008,0.099064,-0.410408,-0.89792,3.08,-4.27,-2.73,Noise,Unknown
1720412621008,0.101016,-0.411384,-0.896944,3.01,-4.34,-2.66,Noise,Unknown
1720412621054,0.098088,-0.410896,-0.899872,2.87,-4.48,-2.66,Noise,Unknown
1720412621055,0.103944,-0.40992,-0.897432,2.8,-4.2,-2.45,Noise,Unknown
1720412621055,0.105408,-0.412848,-0.899384,2.94,-4.34,-2.73,Noise,Unknown
1720412621102,0.102968,-0.411384,-0.89548,2.94,-4.41,-2.73,Noise,Unknown
1720412621102,0.101504,-0.412848,-0.899384,2.94,-4.48,-2.45,Noise,Unknown
1720412621151,0.101504,-0.410896,-0.903776,2.87,-4.48,-2.59,Noise,Unknown
1720412621151,0.104432,-0.40992,-0.903288,2.94,-4.48,-2.59,Noise,Unknown
1720412621151,0.104432,-0.40504,-0.90036,3.01,-4.41,-2.59,Noise,Unknown
1720412621199,0.098576,-0.411384,-0.896944,3.08,-4.34,-2.59,Noise,Unknown
1720412621199,0.101016,-0.408456,-0.896944,2.94,-4.48,-2.59,Noise,Unknown
1720412621199,0.10004,-0.412848,-0.89304,2.94,-4.27,-2.59,Noise,Unknown
1720412621243,0.103944,-0.410408,-0.89304,2.94,-4.41,-2.73,Noise,Unknown
1720412621243,0.10492,-0.408944,-0.88572,2.94,-4.13,-2.73,Noise,Unknown
1720412621243,0.100528,-0.410408,-0.893528,2.87,-4.41,-2.52,Noise,Unknown
1720412621288,0.100528,-0.406992,-0.892064,2.94,-4.62,-2.66,Noise,Unknown
1720412621289,0.100528,-0.411872,-0.894504,2.87,-4.34,-2.8,Noise,Unknown
1720412621336,0.102968,-0.410896,-0.889136,2.73,-4.34,-2.59,Noise,Unknown
1720412621336,0.103456,-0.407968,-0.891088,2.8,-4.27,-2.45,Noise,Unknown
1720412621336,0.101504,-0.408944,-0.8906,2.94,-4.41,-2.59,Noise,Unknown
1720412621385,0.104432,-0.406992,-0.889136,3.08,-4.27,-2.73,Noise,Unknown
1720412621385,0.104432,-0.412848,-0.888648,3.01,-4.27,-2.66,Noise,Unknown
1720412621385,0.106384,-0.40504,-0.886696,2.94,-4.2,-2.66,Noise,Unknown
1720412621432,0.10248,-0.40748,-0.888648,2.94,-4.27,-2.59,Noise,Unknown
1720412621432,0.10492,-0.406992,-0.885232,2.87,-4.13,-2.59,Noise,Unknown
1720412621432,0.10248,-0.408456,-0.889136,3.01,-4.48,-2.45,Noise,Unknown
1720412621477,0.101504,-0.411872,-0.888648,2.59,-4.34,-2.66,Noise,Unknown
1720412621478,0.10004,-0.40992,-0.894992,3.01,-4.48,-2.59,Noise,Unknown
1720412621523,0.105408,-0.40992,-0.891088,3.08,-4.41,-2.66,Noise,Unknown
1720412621523,0.10248,-0.406992,-0.889624,2.87,-4.48,-2.59,Noise,Unknown
1720412621523,0.10248,-0.4026,-0.8906,3.01,-4.41,-2.73,Noise,Unknown
