timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,Motion,Hand
1722417017998,0.234728,-0.276696,-0.905728,13.02,-46.9,-21.07,Noise,Unknown
1722417017998,0.258152,-0.26596,-0.89548,8.47,-37.73,-19.6,Noise,Unknown
1722417017998,0.325008,-0.250832,-0.965752,2.31,-18.83,-13.86,Noise,Unknown
1722417018044,0.310856,-0.218136,-0.98576,-8.33,-0.42,-0.91,Noise,Unknown
1722417018045,0.26352,-0.218624,-1.049688,-7.77,8.4,16.66,Noise,Unknown
1722417018045,0.216672,-0.214232,-1.05164,1.26,9.66,29.54,Noise,Unknown
1722417018092,0.177144,-0.249856,-1.025288,14.07,5.04,28.35,Noise,Unknown
1722417018092,0.153232,-0.24644,-0.979904,26.74,-0.91,13.86,Noise,Unknown
1722417018092,0.167872,-0.249368,-0.904752,34.23,-7.42,-9.66,Noise,Unknown
1722417018139,0.174704,-0.227408,-0.865224,36.33,-14.21,-26.32,Noise,Unknown
1722417018139,0.21716,-0.256688,-0.855952,35.42,-20.44,-33.39,Noise,Right
1722417018184,0.240096,-0.275232,-0.834968,34.93,-24.29,-30.24,Noise,Right
1722417018185,0.256688,-0.291824,-0.829112,29.12,-23.66,-20.44,Noise,Right
1722417018185,0.265472,-0.307928,-0.877912,14.7,-17.22,-9.73,Noise,Right
1722417018232,0.264984,-0.30012,-0.940864,7.77,-10.57,0.98,Noise,Right
1722417018232,0.238632,-0.310368,-0.95648,9.17,-9.8,6.37,Noise,Right
1722417018232,0.211792,-0.317688,-0.955992,16.66,-10.15,3.99,Noise,Right
1722417018279,0.195688,-0.335744,-0.911584,23.17,-8.4,-7.42,Noise,Right
1722417018279,0.186904,-0.32452,-0.871568,28.49,-4.62,-21.56,Noise,Right
1722417018280,0.223504,-0.297192,-0.855464,27.16,-0.56,-31.22,Noise,Right
1722417018324,0.263032,-0.301584,-0.853512,21.21,-3.08,-29.61,Noise,Right
1722417018325,0.2684,-0.332328,-0.860344,18.34,-11.69,-22.4,Noise,Right
1722417018372,0.266448,-0.260104,-0.849608,21.49,-21.21,-11.9,Noise,Right
1722417018373,0.282552,-0.339648,-0.835456,14.07,-29.47,-3.15,Noise,Right
1722417018373,0.28792,-0.353312,-0.864248,11.62,-31.64,-5.88,Noise,Right
1722417018498,0.24888,-0.372344,-0.8662,8.4,-26.74,-7.84,Noise,Right
1722417018499,0.230824,-0.382104,-0.855464,9.8,-16.31,-8.96,Noise,Right
1722417018499,0.21228,-0.362096,-0.84668,7.49,-8.05,-7.91,Noise,Right
1722417018499,0.240096,-0.334768,-0.857904,3.71,-5.32,-6.79,Noise,Right
1722417018499,0.217648,-0.320616,-0.892552,-3.08,-8.26,-6.16,Noise,Right
1722417018499,0.204472,-0.283528,-0.96624,-5.39,-16.31,-6.65,Noise,Right
1722417018499,0.17568,-0.295728,-1.036512,-3.15,-25.83,-9.38,Noise,Right
